municipality,jobs,population
's-Gravenhage,288.1,537.833
Aalsmeer,18.2,31.728
Alblasserdam,9.2,20.069
Albrandswaard,8.1,25.271
Alkmaar,57.3,108.558
Alphen aan den Rijn,44.2,110.986
Amersfoort,88.7,156.286
Amstelveen,45.1,90.838
Amsterdam,654.9,862.965
Baarn,11.8,24.767
Barendrecht,28.1,48.673
Beemster,3.3,9.748
Bergen (NH.),8.0,29.974
Beverwijk,17.9,41.176
Blaricum,3.1,11.202
Bloemendaal,4.9,23.41
Bodegraven-Reeuwijk,14.2,34.462
Brielle,5.6,17.182
Bunnik,9.1,15.192
Bunschoten,12.6,21.576
Capelle aan den IJssel,37.5,66.818
Castricum,8.9,35.772
De Bilt,17.9,42.824
De Ronde Venen,14.7,44.059
Delft,58.0,103.163
Diemen,23.1,29.196
Dordrecht,59.2,118.654
Edam-Volendam,12.5,36.099
Eemnes,2.7,9.113
Goeree-Overflakkee,19.5,49.611
Gooise Meren,20.7,57.715
Gorinchem,25.8,36.682
Gouda,36.1,73.181
Haarlem,68.8,161.265
Haarlemmermeer,178.8,154.235
Hardinxveld-Giessendam,9.6,18.051
Heemskerk,10.8,39.164
Heemstede,7.6,27.286
Heerhugowaard,23.2,56.742
Heiloo,5.8,23.464
Hellevoetsluis,8.9,40.049
Hendrik-Ido-Ambacht,8.7,30.966
Hillegom,7.0,21.966
Hilversum,52.9,90.238
Hoeksche Waard,29.7,86.656
Houten,23.7,49.911
Huizen,13.7,41.273
IJsselstein,10.8,34.16
Kaag en Braassem,8.2,26.866
Katwijk,23.6,65.302
Krimpen aan den IJssel,8.1,29.376
Krimpenerwaard,16.4,56.048
Landsmeer,2.2,11.488
Langedijk,7.4,27.992
Lansingerland,26.6,61.601
Laren,5.3,11.195
Leiden,70.6,124.899
Leiderdorp,10.4,27.109
Leidschendam-Voorburg,17.8,75.425
Leusden,13.6,30.03
Lisse,8.4,22.8
Lopik,4.2,14.473
Maassluis,7.6,32.768
Midden-Delfland,7.0,19.391
Molenlanden,15.0,43.858
Montfoort,5.2,13.996
Nieuwegein,44.8,63.036
Nieuwkoop,8.5,28.628
Nissewaard,20.1,84.797
Noordwijk,19.4,42.859
Oegstgeest,6.1,24.426
Oostzaan,3.2,9.757
Ouder-Amstel,18.4,13.916
Oudewater,3.3,10.201
Papendrecht,14.5,32.29
Pijnacker-Nootdorp,16.2,54.331
Purmerend,24.7,80.117
Renswoude,3.2,5.259
Rhenen,5.9,20.004
Ridderkerk,21.1,46.241
Rijswijk,30.5,53.467
Rotterdam,408.1,644.618
Schiedam,34.8,77.999
Sliedrecht,15.9,25.026
Soest,16.3,46.194
Stichtse Vecht,19.7,64.336
Teylingen,15.6,37.061
Uitgeest,3.8,13.528
Uithoorn,11.9,29.424
Utrecht,295.9,352.866
Utrechtse Heuvelrug,20.7,49.515
Veenendaal,32.0,65.589
Velsen,31.9,68.348
Vijfheerenlanden,24.9,55.712
Vlaardingen,19.9,72.404
Voorschoten,5.5,25.479
Waddinxveen,12.9,28.316
Wassenaar,7.4,26.211
Waterland,3.5,17.315
Weesp,9.1,19.334
Westland,74.2,108.603
Westvoorne,3.2,14.626
Wijdemeren,7.1,24.013
Wijk bij Duurstede,6.1,23.762
Woerden,25.5,52.197
Wormerland,4.5,16.329
Woudenberg,4.5,13.166
Zaanstad,59.0,155.885
Zandvoort,4.1,17.011
Zeist,32.9,63.934
Zoetermeer,51.5,124.944
Zoeterwoude,6.8,8.45
Zuidplas,15.5,42.762
Zwijndrecht,19.6,44.639
