"seconds","_year","average_remote_working_days","average_working_days","percent_remote_worker","commuting_jobs_share","consumer_electricity_price ","consumer_fuel_price","consumer_energy_price","fuel_price","gdp","income","passenger_train_frequency_change","train_punctuality","train_ticket_price","passenger_train_capacity","road_load_factor_index","rail_load_factor_index","waterway_load_factor_index","road_effective_load_factor","rail_effective_load_factor","waterway_effective_load_factor","_load_factor_change","total_jobs","vehicle_per_inhabitants","total_vehicles","population","share_service_sector_gdp","world_trade_volume","electricity_share_freight_rail","diesel_share_freight_rail","h2_share_freight_rail","electricity_share_freight_road","diesel_share_freight_road","h2_share_freight_road","electricity_share_freight_waterway","diesel_share_freight_waterway","h2_share_freight_waterway","electricity_share_passenger_rail","h2_share_passenger_rail","electricity_share_passenger_road","h2_share_passenger_road","petrol_share_passenger_road"
0,2019,1.6,4.375,0.35,0.872,0.28,168,0.19936,56,100,100,100,100,100,300,0.42,0.51,0.54,0.420,0.510,0.540,1.0000000000000,10.8,0.491329479768786,8.5,17.3,0.730,100,0.65,0.35,0,0,1,0,0,1,0,1,0,0,0,1
31536000,2020,1.63396427619302,4.375,0.359370834444148,0.865783061625734,0.278301786190349,176.825379898694,0.211750445655287,57,101.87416688883,101,103,100,101.463636363636,302.515449213543,0.432030808402217,0.523563388961379,0.552093024460339,0.426,0.517,0.545,1.0133964276193,10.9025059984004,0.4949320638394,8.58653692348707,17.3489202879232,0.734,104,0.691190228060396,0.306221371270691,0.001979472140762,0.028093841642229,0.972228739002933,0,0.02441348973607,0.971994134897361,0.003592375366569,0.998020527859238,0.001979472140762,0.029134897360704,0.000718475073314,0.970146627565982
63072000,2021,1.66804852039456,4.375,0.368727672620635,0.859415851715799,0.276597573980272,185.664036256998,0.223423194564236,58,103.745534524127,101,106,100,102.927272727273,305.063307784591,0.444245161982222,0.5372538079347,0.564456608618935,0.433,0.523,0.550,1.0268048520395,11.0044321514263,0.498518816656219,8.6728379098907,17.3972127432685,0.738,108,0.731554615738833,0.261781100797363,0.004472140762463,0.055841642228739,0.944739002932551,0,0.048489736070381,0.944134897360704,0.007375366568915,0.995527859237537,0.004472140762463,0.057897360703812,0.001475073313783,0.940627565982405
94608000,2022,1.70237270061317,4.375,0.378056518261797,0.852893006633658,0.274881364969342,194.529245534524,0.234401815547572,59,105.611303652359,102,109,100,104.390909090909,307.675985070648,0.456648908811024,0.551075608099816,0.577102893695602,0.439,0.530,0.555,1.0402372700613,11.105198613703,0.502094802377626,8.75866702212743,17.4442495334577,0.742,112,0.770440609776787,0.21769709895543,0.007478005865103,0.083243401759531,0.917530791788856,0,0.072228739002933,0.916422287390029,0.011348973607038,0.992521994134897,0.007478005865103,0.086287390029326,0.002269794721408,0.911442815249267
126144000,2023,1.73705678485737,4.375,0.387343375099973,0.846208585648694,0.273147160757131,203.434284190882,0.244707501251174,60,107.468675019995,102,112,100,105.854545454545,310.385890429219,0.469248202121664,0.565033447346594,0.590044279492235,0.445,0.536,0.560,1.0537056784857,11.204225539856,0.505665539935445,8.84378832311384,17.4894028259131,0.746,116,0.807195656915731,0.174987276120307,0.01099706744868,0.110299120234604,0.890604105571848,0,0.095630498533724,0.888856304985337,0.015513196480938,0.98900293255132,0.01099706744868,0.114304985337243,0.003102639296188,0.882592375366569
157680000,2024,1.7722207411357,4.375,0.396574246867502,0.839356090125976,0.271388962943215,212.392428685684,0.254359138206221,61,109.3148493735,103,115,100,107.318181818182,313.225433217809,0.482049501364642,0.579132283590456,0.603293440224347,0.452,0.543,0.565,1.0672220741136,11.3009330845108,0.50923699908915,8.92796587576646,17.5320447880565,0.749,120,0.841167203897143,0.13466954266741,0.015029325513197,0.137008797653959,0.863958944281525,0,0.118695014662757,0.861436950146628,0.019868035190616,0.984970674486803,0.015029325513197,0.141950146627566,0.003973607038123,0.854076246334311
189216000,2025,1.80798453745668,4.375,0.405735137296721,0.832328490391923,0.269600773127166,221.416955478539,0.26337337688933,62,111.147027459344,105,118,100,108.781818181818,316.227022793922,0.495059573263358,0.593377368087964,0.616863340352642,0.458,0.549,0.571,1.0807984537457,11.3947414022927,0.512815601370791,9.01096374300186,17.57154758731,0.753,124,0.871702697462495,0.097761808972153,0.019574780058651,0.163372434017595,0.837595307917889,0,0.141422287390029,0.8341642228739,0.02441348973607,0.980425219941349,0.019574780058651,0.169222873900293,0.004882697947214,0.825894428152493
220752000,2026,1.84446814182885,4.375,0.414812050119968,0.825118260275887,0.267776592908558,230.521141029059,0.271764701782709,63,112.962410023994,106,121,100,110.245454545455,319.423068515063,0.508285492869543,0.607774238752362,0.63076725041455,0.464,0.555,0.576,1.0944468141829,11.4850706478272,0.516408226401062,9.0925459877366,17.6072833910957,0.757,129,0.898149584353263,0.065281985409951,0.024633431085044,0.189390029325513,0.811513196480938,0,0.163812316715543,0.807038123167155,0.029149560117302,0.975366568914956,0.024633431085044,0.196123167155425,0.00582991202346,0.798046920821114
252288000,2027,1.88179152226073,4.375,0.423790989069581,0.817717419327628,0.265910423886964,239.718261796854,0.279545501434295,64,114.758197813916,108,125,100,111.709090909091,322.845979738736,0.521734644618717,0.622328713469173,0.645018762855808,0.471,0.562,0.582,1.1081791522261,11.5713409757398,0.520022224076244,9.17247667288723,17.6386243668355,0.760,134,0.919855311310923,0.03824798235622,0.030205278592375,0.215061583577713,0.785712609970674,0,0.185865102639296,0.780058651026393,0.034076246334311,0.969794721407625,0.030205278592375,0.222651026392962,0.006815249266862,0.770533724340176
283824000,2028,1.92007464676086,4.375,0.432657957877899,0.810117582710701,0.263996267661957,249.021594241536,0.286726138517901,65,116.53159157558,110,128,100,113.172727272727,326.528165822447,0.535414723385594,0.637046883411737,0.659631807861992,0.477,0.568,0.588,1.1220074646761,11.6529725406558,0.523665433164506,9.2505198613703,17.6649426819515,0.764,139,0.936167325076949,0.017677710186375,0.036290322580645,0.240387096774194,0.760193548387097,0,0.20758064516129,0.753225806451613,0.039193548387097,0.963709677419355,0.036290322580645,0.248806451612903,0.007838709677419,0.743354838709677
315360000,2029,1.95943748333778,4.375,0.441398960277259,0.802310018771752,0.262028125833111,258.444414822714,0.293315019893359,66,118.279792055452,112,131,100,114.636363636364,330.5020361237,0.549333735539537,0.651935106356781,0.674620669190075,0.484,0.574,0.594,1.1359437483338,11.7293854972007,0.527346206910067,9.32643961610237,17.6856105038656,0.767,144,0.946433072392816,0.00458907927583,0.042888563049853,0.265366568914956,0.734956011730205,0,0.228958944281525,0.726539589442815,0.04450146627566,0.957111436950147,0.042888563049853,0.274589442815249,0.008900293255132,0.716510263929619
346896000,2030,2,4.375,0.45,0.794285714285714,0.26,268,0.299318666666667,67,120,115,135,100,116.1,334.8,0.5635,0.667,0.69,0.490,0.580,0.600,1.1500000000000,11.8,0.531073446327684,9.4,17.7,0.770,150,0.95,0,0.05,0.29,0.71,0,0.25,0.7,0.05,0.95,0.05,0.3,0.01,0.69
378432000,2031,2.04185117302053,4.375,0.458450696480938,0.786037007455615,0.257907441348974,277.698196480938,0.304739534094537,68,121.690139296188,118,139,100,117.495,339.446094391496,0.577920610811309,0.682246619065021,0.705782959823616,0.496,0.586,0.606,1.1641851173021,11.8643859970674,0.534855185094615,9.47102602639296,17.7076455278592,0.773,156,0.949375,0,0.057624633431085,0.314287390029325,0.685325513196481,6.68548387096775E-05,0.270703812316716,0.673607038123167,0.055689149560117,0.942375366568915,0.057624633431085,0.325038123167155,0.011137829912024,0.663824046920821
409968000,2032,2.08495601173021,4.375,0.466755131964809,0.777562532938067,0.25575219941349,287.535131964809,0.309570450274886,69,123.351026392962,122,142,100,118.89,344.430866568915,0.592596663453186,0.697672851893259,0.721975435668768,0.503,0.592,0.613,1.1784956011730,11.9227126099707,0.538693988766082,9.53958651026393,17.7087302052786,0.776,163,0.9475,0,0.065762463343109,0.338228739002933,0.660932551319648,0.000263870967742,0.291070381231672,0.647360703812317,0.061568914956012,0.934237536656891,0.065762463343109,0.349703812316715,0.012313782991202,0.637982404692082
441504000,2033,2.12924853372434,4.375,0.474921004398827,0.768862890914036,0.253537573313783,297.503504398827,0.313803346226747,69,124.984200879765,126,146,100,120.285,349.73649138563,0.607527591821749,0.713274607856183,0.738581406651772,0.509,0.598,0.619,1.1929248533724,11.9752987536657,0.54259086146452,9.6058112170088,17.703599340176,0.778,169,0.944375,0,0.07441348973607,0.361824046920821,0.636821114369501,0.000585725806452,0.311099706744868,0.621260997067449,0.067639296187683,0.92558651026393,0.07441348973607,0.37399706744868,0.013527859237537,0.612475073313783
473040000,2034,2.17466275659824,4.375,0.482956011730205,0.75993909673488,0.251266862170088,307.596011730205,0.317431752716723,70,126.591202346041,131,150,100,121.68,355.345143695015,0.622712666385736,0.729047599693843,0.755604775844719,0.516,0.604,0.626,1.2074662756598,12.0224633431085,0.546546628177265,9.66982991202346,17.6925982404692,0.781,177,0.94,0,0.083577712609971,0.385073313782991,0.612991202346041,0.001027096774194,0.330791788856305,0.595307917888563,0.073900293255132,0.916422287390029,0.083577712609971,0.39791788856305,0.014780058651026,0.587302052785924
504576000,2035,2.22113269794721,4.375,0.490867851906158,0.750792540288028,0.248943365102639,317.805351906158,0.320450761725905,71,128.173570381232,136,154,100,123.075,361.23899835044,0.638150993606006,0.744987347191285,0.773049361568097,0.522,0.610,0.633,1.2221132697947,12.0645252932551,0.550561925909874,9.73177236070381,17.6760722140762,0.783,184,0.934375,0,0.093255131964809,0.407976539589443,0.589442815249267,0.001582661290323,0.350146627565982,0.56950146627566,0.080351906158358,0.906744868035191,0.093255131964809,0.421466275659824,0.016070381231672,0.562463343108504
536112000,2036,2.26859237536657,4.375,0.4986642228739,0.741424947684611,0.246570381231672,328.1242228739,0.322856987916794,72,129.73284457478,141,158,100,124.47,367.400230205279,0.653841515355046,0.761089180855,0.79091888868345,0.529,0.615,0.639,1.2368592375367,12.1018035190616,0.554637193593037,9.79176832844575,17.654366568915,0.786,192,0.9275,0,0.103445747800587,0.430533724340176,0.566175953079179,0.002247096774194,0.3691642228739,0.543841642228739,0.086994134897361,0.896554252199413,0.103445747800587,0.444642228739003,0.017398826979472,0.537958944281525
567648000,2037,2.31697580645161,4.375,0.506352822580645,0.731838345269065,0.244151209677419,338.545322580645,0.324648530100219,72,131.270564516129,147,162,100,125.865,373.811014112903,0.669783008336486,0.777348245589348,0.809216979886009,0.535,0.621,0.646,1.2516975806452,12.1346169354839,0.558772660801826,9.84994758064516,17.6278266129032,0.788,200,0.919375,0,0.114149560117302,0.452744868035191,0.543190615835777,0.003015080645161,0.387844574780059,0.518328445747801,0.093826979472141,0.885850439882698,0.114149560117302,0.467445747800586,0.018765395894428,0.513788856304985
599184000,2038,2.36621700879765,4.375,0.513941348973607,0.722035025950684,0.241689149560117,349.061348973607,0.325824932702264,73,132.788269794721,153,166,100,127.26,380.453524926686,0.685974083504617,0.79375950437303,0.827947146997363,0.542,0.627,0.654,1.2666217008798,12.163284457478,0.562968335347609,9.90643988269795,17.5967976539589,0.790,208,0.91,0,0.125366568914956,0.474609970674487,0.520486803519062,0.003881290322581,0.406187683284457,0.492961876832844,0.100850439882698,0.874633431085044,0.125366568914956,0.489876832844575,0.02017008797654,0.489953079178886
630720000,2039,2.41625,4.375,0.5214375,0.712017517857143,0.2391875,359.665,0.326387147231183,74,134.2875,159,171,100,128.655,387.3099375,0.702413185483871,0.810317741935484,0.847112782258065,0.548,0.632,0.661,1.2816250000000,12.188125,0.567223989807321,9.961375,17.561625,0.792,217,0.899375,0,0.137096774193548,0.496129032258064,0.498064516129032,0.004840403225806,0.424193548387097,0.467741935483871,0.108064516129032,0.862903225806452,0.137096774193548,0.511935483870968,0.021612903225807,0.466451612903226
662256000,2040,2.46700879765396,4.375,0.528848973607038,0.701788555309982,0.236649560117302,370.348973607038,0.32633749374432,74,135.769794721408,166,175,100,130.05,394.362426686217,0.719098591988376,0.827017568433367,0.866717149620319,0.555,0.638,0.668,1.2967008797654,12.2094574780059,0.571539147061406,10.0148826979472,17.5226539589443,0.794,225,0.8875,0,0.149340175953079,0.517302052785924,0.475923753665689,0.005887096774194,0.441862170087977,0.44266862170088,0.115469208211144,0.850659824046921,0.149340175953079,0.533621700879765,0.023093841642229,0.443284457478006
693792000,2041,2.51842741935484,4.375,0.536183467741935,0.691351052122046,0.234078629032258,381.105967741936,0.325679622315037,75,137.236693548387,172,179,100,131.445,401.59316733871,0.736028413241413,0.843853423126948,0.88676337604058,0.561,0.643,0.676,1.3118427419355,12.2276008064516,0.575913064921039,10.0670927419355,17.4802298387097,0.796,234,0.874375,0,0.162096774193548,0.538129032258065,0.454064516129032,0.007016048387097,0.459193548387097,0.417741935483871,0.123064516129032,0.837903225806452,0.162096774193548,0.554935483870968,0.024612903225807,0.420451612903226
725328000,2042,2.57043988269795,4.375,0.543448680351906,0.68070807721689,0.231478005865103,391.928680351906,0.324418474499623,76,138.689736070381,179,184,100,132.84,408.98433431085,0.753200591394981,0.860819578056601,0.907254442772247,0.568,0.649,0.684,1.3270439882698,12.2428739002933,0.580344719936917,10.1181348973607,17.4346979472141,0.798,243,0.86,0,0.175366568914956,0.558609970674487,0.432486803519062,0.008221935483871,0.476187683284457,0.392961876832845,0.130850439882698,0.824633431085044,0.175366568914956,0.575876832844575,0.02617008797654,0.397953079178886
756864000,2043,2.62298020527859,4.375,0.550652309384164,0.669862832570148,0.22885098973607,402.809809384164,0.322560244804227,76,140.130461876833,187,188,101,134.235,416.518102456012,0.770612899949261,0.877910141719198,0.928193176658269,0.574,0.654,0.691,1.3422980205279,12.2555956744868,0.584832790496013,10.1681389296188,17.3864035923754,0.799,253,0.844375,0,0.189149560117302,0.578744868035191,0.411190615835777,0.009499435483871,0.492844574780059,0.368328445747801,0.138826979472141,0.810850439882698,0.189149560117302,0.596445747800586,0.027765395894428,0.375788856304985
788400000,2044,2.67598240469208,4.375,0.557802052785924,0.658818633472856,0.226200879765396,413.742052785924,0.320112342151771,77,141.560410557185,194,193,101,135.63,424.176646627566,0.788262943172144,0.895119062744559,0.949582241423794,0.581,0.659,0.699,1.3575982404692,12.2660850439883,0.58937563932903,10.2172346041056,17.3356920821114,0.801,262,0.8275,0,0.203445747800586,0.598533724340176,0.390175953079179,0.010843225806452,0.5091642228739,0.343841642228739,0.146994134897361,0.796554252199413,0.203445747800586,0.616642228739003,0.029398826979472,0.353958944281525
819936000,2045,2.72938049853372,4.375,0.564905608504399,0.647578891116747,0.223530975073314,424.718108504399,0.31708335134887,77,142.98112170088,201,197,101,137.025,431.942141678886,0.806148155518743,0.912440133571906,0.971424128968833,0.587,0.665,0.708,1.3729380498534,12.2746609237537,0.59397129557015,10.265551686217,17.2829087243402,0.802,272,0.809375,0,0.218255131964809,0.617976539589443,0.369442815249267,0.012247983870968,0.525146627565982,0.31950146627566,0.155351906158358,0.781744868035191,0.218255131964809,0.636466275659824,0.031070381231672,0.332463343108504
851472000,2046,2.78310850439883,4.375,0.571970674486804,0.636147097501495,0.220844574780059,435.730674486804,0.313482994552759,78,144.394134897361,209,202,101,138.42,439.796762463343,0.824265801050901,0.929866994126296,0.993721150660898,0.594,0.670,0.716,1.3883108504399,12.281642228739,0.598617436531513,10.313219941349,17.2283988269795,0.804,281,0.79,0,0.233577712609971,0.637073313782991,0.348991202346041,0.013708387096774,0.540791788856305,0.295307917888563,0.163900293255132,0.766422287390029,0.233577712609971,0.65591788856305,0.032780058651026,0.311302052785924
883008000,2047,2.8371004398827,4.375,0.579004948680352,0.624526812663934,0.218144978005865,446.772448680352,0.309322092738207,78,145.80098973607,217,206,101,139.815,447.722683834311,0.842612972856701,0.94739313549505,1.01647542862764,0.600,0.675,0.724,1.4037100439883,12.2873478739003,0.603311369377687,10.3603691348974,17.1725076979472,0.806,291,0.769375,0,0.24941348973607,0.655824046920821,0.328821114369501,0.015219112903226,0.556099706744868,0.271260997067449,0.172639296187683,0.75058651026393,0.24941348973607,0.67499706744868,0.034527859237537,0.290475073313783
914544000,2048,2.89129032258065,4.375,0.586016129032258,0.612721654229225,0.215435483870968,457.836129032258,0.304612527164444,79,147.203225806452,224,211,101,141.21,455.702080645161,0.861186592469962,0.965011903604198,1.03968888704947,0.607,0.680,0.733,1.4191290322581,12.2920967741936,0.608050012910329,10.4071290322581,17.1155806451613,0.807,300,0.7475,0,0.265762463343108,0.674228739002933,0.308932551319648,0.016774838709677,0.571070381231672,0.247360703812317,0.181568914956012,0.734237536656892,0.265762463343108,0.693703812316716,0.036313782991202,0.269982404692082
946080000,2049,2.94561217008798,4.375,0.593011913489736,0.600735289283994,0.212719391495601,468.914413489736,0.299367200842073,79,148.602382697947,232,215,101,142.605,463.717127749267,0.879983409289782,0.982716502894928,1.06336324345228,0.613,0.685,0.741,1.4345612170088,12.2962078445748,0.612829879699249,10.453629398827,17.0579629765396,0.809,310,0.724375,0,0.282624633431085,0.692287390029325,0.289325513196481,0.018370241935484,0.585703812316716,0.223607038123167,0.190689149560117,0.717375366568915,0.282624633431085,0.712038123167155,0.038137829912024,0.249824046920821
977616000,2050,3,4.375,0.6,0.588571428571429,0.21,480,0.2936,80,150,240,220,101,144,471.75,0.899,1.0005,1.0875,0.620,0.690,0.750,1.4500000000000,12.3,0.617647058823529,10.5,17,0.810,320,0.7,0,0.3,0.71,0.27,0.02,0.6,0.2,0.2,0.7,0.3,0.73,0.04,0.23
