"seconds","year","cef_f_train_medium_length","nef_f_train_medium_length","ecf_f_train_medium_length","share_train_medium_length","rail_effective_load_factor","_load_factor_change","load_capacity_train_medium_length","cef_p_ic","cef_p_st","nef_p_ic","nef_p_st","ecf_p_ic","ecf_p_st","share_ic","share_st","passenger_train_capacity"
0,2019,17.6,0.2,0.193,1,0.51,1.000000000000,1940,-1,-1,-1,-1,-1,-1,0,0,300
31536000,2020,17.1510615835777,0.189143161823514,0.190176776859504,1,0.516642228739003,1.013396427619,1965.98906958144,-1,-1,-1,-1,-1,-1,0,0,302.515449213543
63072000,2021,16.7037700879765,0.178347347374034,0.187363123966942,1,0.523228739002933,1.026804852039,1992.00141295655,-1,-1,-1,-1,-1,-1,0,0,305.063307784591
94608000,2022,16.2597724340176,0.167673580378566,0.184568611570248,1,0.529759530791789,1.040237270061,2018.06030391896,-1,-1,-1,-1,-1,-1,0,0,307.675985070648
126144000,2023,15.820715542522,0.157182884564116,0.181802809917355,1,0.536234604105572,1.053705678486,2044.18901626234,-1,-1,-1,-1,-1,-1,0,0,310.385890429219
157680000,2024,15.3882463343108,0.146936283657691,0.179075289256198,1,0.542653958944281,1.067222074114,2070.41082378033,-1,-1,-1,-1,-1,-1,0,0,313.225433217809
189216000,2025,14.9640117302053,0.136994801386297,0.176395619834711,1,0.549017595307918,1.080798453746,2096.7490002666,-1,-1,-1,-1,-1,-1,0,0,316.227022793922
220752000,2026,14.5496586510264,0.127419461476939,0.173773371900826,1,0.555325513196481,1.094446814183,2123.22681951479,-1,-1,-1,-1,-1,-1,0,0,319.423068515063
252288000,2027,14.1468340175953,0.118271287656625,0.171218115702479,1,0.561577712609971,1.108179152226,2149.86755531858,-1,-1,-1,-1,-1,-1,0,0,322.845979738736
283824000,2028,13.7571847507331,0.109611303652359,0.168739421487603,1,0.567774193548387,1.122007464676,2176.69448147161,-1,-1,-1,-1,-1,-1,0,0,326.528165822447
315360000,2029,13.382357771261,0.101500533191149,0.166346859504132,1,0.57391495601173,1.135943748334,2203.73087176753,-1,-1,-1,-1,-1,-1,0,0,330.5020361237
346896000,2030,13.024,0.094,0.16405,1,0.58,1.150000000000,2231,-1,-1,-1,-1,-1,-1,0,0,334.8
378432000,2031,12.6833329032258,0.087154963343109,0.161855940909091,1,0.586029325513196,1.164185117302,2258.51912756598,-1,-1,-1,-1,-1,-1,0,0,339.446094391496
409968000,2032,12.3598761290323,0.080947624633431,0.159761890909091,1,0.59200293255132,1.178495601173,2286.28146627566,-1,-1,-1,-1,-1,-1,0,0,344.430866568915
441504000,2033,12.0527238709677,0.075344420821114,0.157762586363636,1,0.59792082111437,1.192924853372,2314.27421554251,-1,-1,-1,-1,-1,-1,0,0,349.73649138563
473040000,2034,11.7609703225806,0.070311788856305,0.155852763636364,1,0.603782991202346,1.207466275660,2342.48457478005,-1,-1,-1,-1,-1,-1,0,0,355.345143695015
504576000,2035,11.4837096774194,0.06581616568915,0.154027159090909,1,0.609589442815249,1.222113269795,2370.89974340176,-1,-1,-1,-1,-1,-1,0,0,361.23899835044
536112000,2036,11.2200361290323,0.061823988269795,0.152280509090909,1,0.615340175953079,1.236859237537,2399.50692082112,-1,-1,-1,-1,-1,-1,0,0,367.400230205279
567648000,2037,10.9690438709677,0.058301693548387,0.15060755,1,0.621035190615836,1.251697580645,2428.29330645161,-1,-1,-1,-1,-1,-1,0,0,373.811014112903
599184000,2038,10.7298270967742,0.055215718475073,0.149003018181818,1,0.626674486803519,1.266621700880,2457.24609970675,-1,-1,-1,-1,-1,-1,0,0,380.453524926686
630720000,2039,10.50148,0.0525325,0.14746165,1,0.632258064516129,1.281625000000,2486.3525,-1,-1,-1,-1,-1,-1,0,0,387.3099375
662256000,2040,10.2830967741935,0.050218475073314,0.145978181818182,1,0.637785923753666,1.296700879765,2515.59970674488,-1,-1,-1,-1,-1,-1,0,0,394.362426686217
693792000,2041,10.0737716129032,0.048240080645161,0.14454735,1,0.643258064516129,1.311842741935,2544.97491935483,-1,-1,-1,-1,-1,-1,0,0,401.59316733871
725328000,2042,9.87259870967742,0.046563753665689,0.143163890909091,1,0.648674486803519,1.327043988270,2574.46533724339,-1,-1,-1,-1,-1,-1,0,0,408.98433431085
756864000,2043,9.67867225806452,0.045155931085044,0.141822540909091,1,0.654035190615836,1.342298020528,2604.05815982405,-1,-1,-1,-1,-1,-1,0,0,416.518102456012
788400000,2044,9.4910864516129,0.043983049853372,0.140518036363636,1,0.659340175953079,1.357598240469,2633.74058651027,-1,-1,-1,-1,-1,-1,0,0,424.176646627566
819936000,2045,9.30893548387097,0.043011546920821,0.139245113636364,1,0.664589442815249,1.372938049853,2663.49981671554,-1,-1,-1,-1,-1,-1,0,0,431.942141678886
851472000,2046,9.1313135483871,0.042207859237537,0.137998509090909,1,0.669782991202346,1.388310850440,2693.32304985337,-1,-1,-1,-1,-1,-1,0,0,439.796762463343
883008000,2047,8.95731483870968,0.041538423753666,0.136772959090909,1,0.674920821114369,1.403710043988,2723.19748533724,-1,-1,-1,-1,-1,-1,0,0,447.722683834311
914544000,2048,8.7860335483871,0.040969677419355,0.1355632,1,0.68000293255132,1.419129032258,2753.11032258064,-1,-1,-1,-1,-1,-1,0,0,455.702080645161
946080000,2049,8.61656387096774,0.040468057184751,0.134363968181818,1,0.685029325513196,1.434561217009,2783.04876099707,-1,-1,-1,-1,-1,-1,0,0,463.717127749267
977616000,2050,8.448,0.04,0.13317,1,0.69,1.450000000000,2813,-1,-1,-1,-1,-1,-1,0,0,471.75
