"seconds","_year","average_remote_working_days","average_working_days","percent_remote_worker","commuting_jobs_share","consumer_electricity_price ","consumer_fuel_price","consumer_energy_price","fuel_price","gdp","income","passenger_train_frequency_change","train_punctuality","train_ticket_price","passenger_train_capacity","road_load_factor_index","rail_load_factor_index","waterway_load_factor_index","road_effective_load_factor","rail_effective_load_factor","waterway_effective_load_factor","_load_factor_change","total_jobs","vehicle_per_inhabitants","total_vehicles","population","share_service_sector_gdp","world_trade_volume","electricity_share_freight_rail","diesel_share_freight_rail","h2_share_freight_rail","electricity_share_freight_road","diesel_share_freight_road","h2_share_freight_road","electricity_share_freight_waterway","diesel_share_freight_waterway","h2_share_freight_waterway","electricity_share_passenger_rail","h2_share_passenger_rail","electricity_share_passenger_road","h2_share_passenger_road","petrol_share_passenger_road"
0,2019,1.6,4.375,0.35,0.872,0.28,168,0.19936,56,100,100,100,100,100,300,0.42,0.51,0.54,0.42,0.51,0.54,1,10.8,0.491329479768786,8.5,17.3,0.73,100,0.65,0.35,0,0,1,0,0,1,0,1,0,0,0,1
31536000,2020,1.6400293255132,4.36803519061584,0.354398826979472,0.866936862042115,0.28,177.850391410775,0.212302973353733,59.2834638035918,101.041055718475,100.082644628099,100.153958944282,100.192082111437,100.227236373331,300.019834710744,0.423614777994685,0.513848672612033,0.544142637232221,0.421759530791789,0.511598240469208,0.541759530791789,1.00439882697947,10.8,0.491928767036081,8.5400293255132,17.3602966481666,0.730395894428152,103.035190615836,0.695978042219045,0.306221371270691,0,0.015938416422287,0.984061583577713,0,0.021627565982405,0.979985337243402,0,1,0,0.019763457017523,0,0.980454545454545
63072000,2021,1.67932551319648,4.36019061583578,0.358826979472141,0.861797945424161,0.28,187.52093987058,0.224601998954148,62.50697995686,102.055718475073,100.330578512397,100.458944281525,100.38211143695,100.450602263639,300.079338842975,0.427269289393795,0.517770832294183,0.548328526930452,0.423530791788856,0.513240469208211,0.543530791788856,1.00882697947214,10.8,0.492570722146928,8.57932551319648,17.4174491650711,0.730894428152493,106.190615835777,0.741781949056009,0.261781100797363,0,0.03141642228739,0.96858357771261,0,0.042565982404692,0.96033724340176,0,1,0,0.038949031773345,0,0.961545454545455
94608000,2022,1.71788856304985,4.35146627565982,0.363284457478006,0.856581167105425,0.28,196.942172996292,0.236204012175928,65.647390998764,103.043988269795,100.743801652893,100.91495601173,100.57008797654,100.668359952498,300.178512396694,0.43096384585616,0.521767207884351,0.552557980753522,0.425313782991202,0.514926686217009,0.545313782991202,1.01328445747801,10.8,0.493270730218529,8.61788856304985,17.4709100603475,0.73149560117302,109.466275659824,0.786525774944863,0.21769709895543,0,0.046434017595308,0.953565982404692,0,0.062815249266862,0.941055718475073,0,1,0,0.057522696977776,0,0.943272727272727
126144000,2023,1.75571847507331,4.34186217008798,0.367771260997067,0.851284363197445,0.28,206.044618404789,0.247060554302454,68.681539468263,104.005865102639,101.322314049587,101.521994134897,100.756011730205,100.87877172148,300.317355371901,0.434698761104567,0.525838535960304,0.556831312424215,0.427108504398827,0.516656891495601,0.547108504398827,1.01777126099707,10.8,0.494044140325381,8.65571847507331,17.5201318436296,0.732199413489736,112.862170087977,0.829323574319575,0.174987276120307,0,0.060991202346041,0.939008797653959,0,0.082375366568915,0.922140762463343,0,1,0,0.075450425341121,0,0.925636363636364
157680000,2024,1.79281524926686,4.33137829912024,0.372287390029326,0.845905283754619,0.28,214.758803712949,0.257127320432401,71.5862679043164,104.941348973607,102.066115702479,102.280058651026,100.939882697947,101.080099852161,300.495867768595,0.438474350925776,0.529985560839692,0.561148837729296,0.42891495601173,0.518431085043988,0.54891495601173,1.02228739002933,10.8,0.494906321181525,8.69281524926686,17.564567024551,0.733005865102639,116.378299120235,0.869289401614115,0.13466954266741,0,0.07508797653959,0.924912023460411,0,0.10124633431085,0.903592375366569,0,1,0,0.09269818957369,0,0.908636363636364
189216000,2025,1.8291788856305,4.3200146627566,0.37683284457478,0.840441587235626,0.28,223.015256537651,0.26636370738634,74.3384188458835,105.850439882698,102.97520661157,103.189149560117,101.121700879765,101.270606626112,300.714049586777,0.442290933170509,0.534209034580026,0.565510874519483,0.430733137829912,0.52024926686217,0.550733137829912,1.02683284457478,10.8,0.495872725486699,8.7291788856305,17.6036681127457,0.73391495601173,120.014662756598,0.905537311262451,0.097761808972153,0,0.088724340175953,0.911275659824047,0,0.119428152492669,0.885410557184751,0,1,0,0.109231962385788,0,0.892272727272727
220752000,2026,1.86480938416422,4.30777126099707,0.381407624633431,0.834890834606761,0.28,230.744504495771,0.274732361613334,76.9148348319236,106.733137829912,104.049586776859,104.24926686217,101.30146627566,101.448554324907,300.971900826446,0.446148827753458,0.538509716978698,0.569917742709471,0.432563049853372,0.522111436950147,0.552563049853373,1.03140762463343,10.8,0.496958963173003,8.76480938416422,17.6368876178474,0.734926686217009,123.771260997067,0.937181357698553,0.065281985409951,0,0.101900293255132,0.898099706744868,0,0.13692082111437,0.867595307917889,0,1,0,0.125017716487725,0,0.876545454545455
252288000,2027,1.89970674486804,4.29464809384164,0.386011730205279,0.829250483055716,0.28,237.877075204188,0.28219872709754,79.292358401396,107.589442815249,105.289256198347,105.460410557185,101.479178885631,101.61220523012,301.269421487603,0.45004835665328,0.542888375572966,0.574369764277913,0.434404692082111,0.524017595307918,0.554404692082111,1.03601173020528,10.8,0.498180883970664,8.79970674486804,17.6636780494898,0.736041055718475,127.648093841642,0.96333559535639,0.03824798235622,0,0.114615835777126,0.885384164222874,0,0.153724340175953,0.850146627565982,0,1,0,0.140021424589806,0,0.861454545454545
283824000,2028,1.93387096774194,4.28064516129032,0.390645161290323,0.823517879281425,0.28,244.34349627978,0.288730593264811,81.44783209326,108.41935483871,106.694214876033,106.822580645161,101.654838709677,101.759821623325,301.606611570248,0.45398984391259,0.547345785639957,0.578867263267428,0.436258064516129,0.525967741935484,0.556258064516129,1.04064516129032,10.8,0.499554669917665,8.83387096774194,17.6834919173069,0.737258064516129,131.645161290323,0.983114078669931,0.017677710186375,0,0.126870967741935,0.873129032258064,0,0.169838709677419,0.833064516129032,0,1,0,0.154209059402341,0,0.847
