"seconds","_year","cef_f_truck_medium","cef_f_tractor_light","cef_f_tractor_heavy","nef_f_truck_medium","nef_f_tractor_light","nef_f_tractor_heavy","ecf_f_truck_medium","ecf_f_tractor_light","ecf_f_tractor_heavy","road_effective_load_factor","_load_factor_change","load_capacity_truck_medium","load_capacity_tractor_light","load_capacity_tractor_heavy","share_truck_medium","share_tractor_light","share_tractor_heavy","cef_p_passenger_car","nef_p_passenger_car","ecf_p_passenger_car","share_passenger_car","load_capacity_passenger_car","_IDX","_IDX2"
0,2019,90,90,90,0.37,0.37,0.37,0.752,0.752,0.752,1,7.5,15.7,29.2,0.25,0.48,0.27,107,0.14,0.959,1,1,1,-11,0
31536000,2020,84.9603184605317,84.9603184605317,84.9603184605317,0.356578005865103,0.356578005865103,0.356578005865103,0.741469794721408,0.741469794721408,0.741469794721408,1.0133964276193,7.60047320714476,15.910323913623,29.5911756864836,0.25,0.48,0.27,101.008378614188,0.134921407624633,0.945571187683284,1,1,1,-10,1
63072000,2021,80.0679968977969,80.0679968977969,80.0679968977969,0.343485865102639,0.343485865102639,0.343485865102639,0.730994721407625,0.730994721407625,0.730994721407625,1.02680485203946,7.70103639029592,16.1208361770195,29.9827016795521,0.25,0.48,0.27,95.1919518673808,0.129967624633431,0.932212683284458,1,1,1,-9,2
94608000,2022,75.3317122706672,75.3317122706672,75.3317122706672,0.33072357771261,0.33072357771261,0.33072357771261,0.720574780058651,0.720574780058651,0.720574780058651,1.04023727006132,7.80177952545988,16.3317251399627,30.3749282857905,0.25,0.48,0.27,89.561035699571,0.125138651026393,0.918924486803519,1,1,1,-8,3
126144000,2023,70.7601415380141,70.7601415380141,70.7601415380141,0.318291143695015,0.318291143695015,0.318291143695015,0.710209970674487,0.710209970674487,0.710209970674487,1.05370567848574,7.90279258864303,16.5431791522261,30.7682058117835,0.25,0.48,0.27,84.1259460507501,0.120434486803519,0.905706598240469,1,1,1,-7,4
157680000,2024,66.3619616587092,66.3619616587092,66.3619616587092,0.306188563049853,0.306188563049853,0.306188563049853,0.699900293255132,0.699900293255132,0.699900293255132,1.06722207411357,8.00416555585177,16.755386563583,31.1628845641162,0.25,0.48,0.27,78.8969988609098,0.115855131964809,0.892559017595308,1,1,1,-6,5
189216000,2025,62.145849591624,62.145849591624,62.145849591624,0.294415835777126,0.294415835777126,0.294415835777126,0.689645747800587,0.689645747800587,0.689645747800587,1.08079845374567,8.10598840309251,16.968535723807,31.5593148493735,0.25,0.48,0.27,73.8845100700419,0.111400586510264,0.879481744868035,1,1,1,-5,6
220752000,2026,58.1204822956303,58.1204822956303,58.1204822956303,0.282972961876833,0.282972961876833,0.282972961876833,0.67944633431085,0.67944633431085,0.67944633431085,1.09444681418288,8.20835110637164,17.1828149826713,31.9578469741402,0.25,0.48,0.27,69.0987956181382,0.107070850439883,0.866474780058651,1,1,1,-4,7
252288000,2027,54.2945367295994,54.2945367295994,54.2945367295994,0.271859941348974,0.271859941348974,0.271859941348974,0.669302052785924,0.669302052785924,0.669302052785924,1.10817915222607,8.31134364169555,17.3984126899493,32.3588312450013,0.25,0.48,0.27,64.5501714451904,0.102865923753666,0.853538123167155,1,1,1,-3,8
283824000,2028,50.676689852403,50.676689852403,50.676689852403,0.261076774193548,0.261076774193548,0.261076774193548,0.659212903225806,0.659212903225806,0.659212903225806,1.12200746467609,8.41505598507065,17.6155171954146,32.7626179685417,0.25,0.48,0.27,60.2489534911902,0.098785806451613,0.840671774193548,1,1,1,-2,9
