"seconds","_year","cef_f_truck_medium","cef_f_tractor_light","cef_f_tractor_heavy","nef_f_truck_medium","nef_f_tractor_light","nef_f_tractor_heavy","ecf_f_truck_medium","ecf_f_tractor_light","ecf_f_tractor_heavy","road_effective_load_factor","_load_factor_change","load_capacity_truck_medium","load_capacity_tractor_light","load_capacity_tractor_heavy","share_truck_medium","share_tractor_light","share_tractor_heavy","cef_p_passenger_car","nef_p_passenger_car","ecf_p_passenger_car","share_passenger_car","load_capacity_passenger_car"
0,2019,119,119,119,0.08,0.08,0.08,0.124,0.124,0.124,0.42,1.0000000000000,7.5,15.7,29.2,0.25,0.48,0.27,126,0.16,1.352,1,1
31536000,2020,115.497573980272,115.497573980272,115.497573980272,0.07750146627566,0.07750146627566,0.07750146627566,0.123767603305785,0.123767603305785,0.123767603305785,0.426319648093842,1.0133964276193,7.60047320714475,15.910323913623,29.5911756864836,0.25,0.48,0.27,122.291548920288,0.15500293255132,1.3494661263663,1,1
63072000,2021,112.007996534258,112.007996534258,112.007996534258,0.075066275659824,0.075066275659824,0.075066275659824,0.123535553719008,0.123535553719008,0.123535553719008,0.432648093841642,1.0268048520395,7.70103639029595,16.1208361770195,29.9827016795522,0.25,0.48,0.27,118.596702212743,0.150132551319648,1.34693603732338,1,1
94608000,2022,108.54411623567,108.54411623567,108.54411623567,0.072694428152493,0.072694428152493,0.072694428152493,0.123304198347107,0.123304198347107,0.123304198347107,0.438985337243402,1.0402372700613,7.8017795254599,16.3317251399627,30.3749282857905,0.25,0.48,0.27,114.929064249533,0.145388856304985,1.34441351746201,1,1
126144000,2023,105.118781658224,105.118781658224,105.118781658224,0.070385923753666,0.070385923753666,0.070385923753666,0.123073884297521,0.123073884297521,0.123073884297521,0.44533137829912,1.0537056784857,7.90279258864305,16.5431791522261,30.7682058117836,0.25,0.48,0.27,111.302239402826,0.140771847507331,1.34190235137297,1,1
157680000,2024,101.744841375633,101.744841375633,101.744841375633,0.068140762463343,0.068140762463343,0.068140762463343,0.122844958677686,0.122844958677686,0.122844958677686,0.451686217008798,1.0672220741136,8.00416555585178,16.755386563583,31.1628845641162,0.25,0.48,0.27,107.729832044788,0.136281524926686,1.33940632364703,1,1
189216000,2025,98.4351439616102,98.4351439616102,98.4351439616102,0.065958944281525,0.065958944281525,0.065958944281525,0.122617768595041,0.122617768595041,0.122617768595041,0.458049853372434,1.0807984537457,8.10598840309252,16.968535723807,31.5593148493736,0.25,0.48,0.27,104.225446547587,0.13191788856305,1.33692921887497,1,1
220752000,2026,95.2025379898694,95.2025379898694,95.2025379898694,0.063840469208211,0.063840469208211,0.063840469208211,0.122392661157025,0.122392661157025,0.122392661157025,0.464422287390029,1.0944468141829,8.2083511063716,17.1828149826712,31.9578469741401,0.25,0.48,0.27,100.802687283391,0.127680938416422,1.33447482164756,1,1
252288000,2027,92.0598720341242,92.0598720341242,92.0598720341242,0.061785337243402,0.061785337243402,0.061785337243402,0.122169983471074,0.122169983471074,0.122169983471074,0.470803519061584,1.1081791522261,8.31134364169552,17.3984126899493,32.3588312450012,0.25,0.48,0.27,97.4751586243668,0.123570674486804,1.33204691655559,1,1
283824000,2028,89.0199946680885,89.0199946680885,89.0199946680885,0.059793548387097,0.059793548387097,0.059793548387097,0.121950082644628,0.121950082644628,0.121950082644628,0.477193548387097,1.1220074646761,8.41505598507067,17.6155171954146,32.7626179685418,0.25,0.48,0.27,94.2564649426819,0.119587096774194,1.32964928818982,1,1
315360000,2029,86.0957544654759,86.0957544654759,86.0957544654759,0.057865102639296,0.057865102639296,0.057865102639296,0.121733305785124,0.121733305785124,0.121733305785124,0.483592375366569,1.1359437483338,8.51957811250335,17.8343168488403,33.1695574513464,0.25,0.48,0.27,91.1602106105039,0.115730205278592,1.32728572114103,1,1
346896000,2030,83.3,83.3,83.3,0.056,0.056,0.056,0.12152,0.12152,0.12152,0.49,1.1500000000000,8.625,18.055,33.58,0.25,0.48,0.27,88.2,0.112,1.32496,1,1
378432000,2031,80.6422606304985,80.6422606304985,80.6422606304985,0.054198240469208,0.054198240469208,0.054198240469208,0.121310422727273,0.121310422727273,0.121310422727273,0.49641642228739,1.1641851173021,8.73138837976538,18.2777063416422,33.9942054252199,0.25,0.48,0.27,85.3859230205278,0.108396480938416,1.32267493167155,1,1
409968000,2032,78.118788856305,78.118788856305,78.118788856305,0.052459824046921,0.052459824046921,0.052459824046921,0.121104472727273,0.121104472727273,0.121104472727273,0.502841642228739,1.1784956011730,8.83871700879765,18.5023809384164,34.4120715542522,0.25,0.48,0.27,82.7140117302053,0.104919648093842,1.32042941231672,1,1
441504000,2033,75.7225179618768,75.7225179618768,75.7225179618768,0.050784750733138,0.050784750733138,0.050784750733138,0.120901959090909,0.120901959090909,0.120901959090909,0.509275659824047,1.1929248533724,8.94693640029323,18.7289201979472,34.8334057184749,0.25,0.48,0.27,80.1767837243402,0.101569501466276,1.31822136041056,1,1
473040000,2034,73.4463812316716,73.4463812316716,73.4463812316716,0.049173020527859,0.049173020527859,0.049173020527859,0.120702690909091,0.120702690909091,0.120702690909091,0.515718475073314,1.2074662756598,9.05599706744865,18.9572205278592,35.2580152492667,0.25,0.48,0.27,77.7667565982404,0.098346041055719,1.31604869442815,1,1
504576000,2035,71.2833119501466,71.2833119501466,71.2833119501466,0.047624633431085,0.047624633431085,0.047624633431085,0.120506477272727,0.120506477272727,0.120506477272727,0.52217008797654,1.2221132697947,9.1658495234604,19.1871783357771,35.6857074780058,0.25,0.48,0.27,75.4764479472141,0.09524926686217,1.31390933284458,1,1
536112000,2036,69.2262434017595,69.2262434017595,69.2262434017595,0.046139589442815,0.046139589442815,0.046139589442815,0.120313127272727,0.120313127272727,0.120313127272727,0.528630498533724,1.2368592375367,9.27644428152495,19.4186900293256,36.1162897360705,0.25,0.48,0.27,73.2983753665689,0.092279178885631,1.3118011941349,1,1
567648000,2037,67.2681088709678,67.2681088709678,67.2681088709678,0.04471788856305,0.04471788856305,0.04471788856305,0.12012245,0.12012245,0.12012245,0.535099706744868,1.2516975806452,9.3877318548387,19.651652016129,36.5495693548387,0.25,0.48,0.27,71.2250564516129,0.0894357771261,1.30972219677419,1,1
599184000,2038,65.4018416422287,65.4018416422287,65.4018416422287,0.043359530791789,0.043359530791789,0.043359530791789,0.119934254545455,0.119934254545455,0.119934254545455,0.541577712609971,1.2666217008798,9.49966275659827,19.8859607038124,36.9853536656893,0.25,0.48,0.27,69.249008797654,0.086719061583578,1.30767025923754,1,1
630720000,2039,63.620375,63.620375,63.620375,0.042064516129032,0.042064516129032,0.042064516129032,0.11974835,0.11974835,0.11974835,0.548064516129032,1.2816250000000,9.6121875,20.1215125,37.42345,0.25,0.48,0.27,67.36275,0.084129032258065,1.3056433,1,1
