"seconds","year","cef_f_truck_medium","cef_f_tractor_light","cef_f_tractor_heavy","nef_f_truck_medium","nef_f_tractor_light","nef_f_tractor_heavy","ecf_f_truck_medium","ecf_f_tractor_light","ecf_f_tractor_heavy","road_effective_load_factor","_load_factor_change","load_capacity_truck_medium","load_capacity_tractor_light","load_capacity_tractor_heavy","share_truck_medium","share_tractor_light","share_tractor_heavy","cef_p_passenger_car","nef_p_passenger_car","ecf_p_passenger_car","share_passenger_car","load_capacity_passenger_car"
0,2019,0,0,0,0,0,0,0,0,0,0.42,1.0000000000000,7.5,15.7,29.2,0.25,0.48,0.27,211.28,0.22,2.82,1,1
31536000,2020,0,0,0,0,0,0,0,0,0,0.426319648093842,1.0133964276193,7.60047320714475,15.910323913623,29.5911756864836,0.25,0.48,0.27,206.71982170088,0.205002399360171,2.75293196480938,1,1
63072000,2021,0,0,0,0,0,0,0,0,0,0.432648093841642,1.0268048520395,7.70103639029595,16.1208361770195,29.9827016795522,0.25,0.48,0.27,202.176372316716,0.19026025059984,2.68748480938416,1,1
94608000,2022,0,0,0,0,0,0,0,0,0,0.438985337243402,1.0402372700613,7.8017795254599,16.3317251399627,30.3749282857905,0.25,0.48,0.27,197.666380762463,0.175888243135164,2.62365853372434,1,1
126144000,2023,0,0,0,0,0,0,0,0,0,0.44533137829912,1.0537056784857,7.90279258864305,16.5431791522261,30.7682058117836,0.25,0.48,0.27,193.206575953079,0.162001066382298,2.56145313782991,1,1
157680000,2024,0,0,0,0,0,0,0,0,0,0.451686217008798,1.0672220741136,8.00416555585178,16.755386563583,31.1628845641162,0.25,0.48,0.27,188.813686803519,0.148713409757398,2.50086862170088,1,1
189216000,2025,0,0,0,0,0,0,0,0,0,0.458049853372434,1.0807984537457,8.10598840309252,16.968535723807,31.5593148493736,0.25,0.48,0.27,184.504442228739,0.13613996267662,2.44190498533724,1,1
220752000,2026,0,0,0,0,0,0,0,0,0,0.464422287390029,1.0944468141829,8.2083511063716,17.1828149826712,31.9578469741401,0.25,0.48,0.27,180.295571143695,0.124395414556118,2.384562228739,1,1
252288000,2027,0,0,0,0,0,0,0,0,0,0.470803519061584,1.1081791522261,8.31134364169552,17.3984126899493,32.3588312450012,0.25,0.48,0.27,176.203802463343,0.11359445481205,2.32884035190616,1,1
283824000,2028,0,0,0,0,0,0,0,0,0,0.477193548387097,1.1220074646761,8.41505598507067,17.6155171954146,32.7626179685418,0.25,0.48,0.27,172.245865102639,0.103851772860571,2.27473935483871,1,1
315360000,2029,0,0,0,0,0,0,0,0,0,0.483592375366569,1.1359437483338,8.51957811250335,17.8343168488403,33.1695574513464,0.25,0.48,0.27,168.43848797654,0.095282058117835,2.22225923753666,1,1
346896000,2030,0,0,0,0,0,0,0,0,0,0.49,1.1500000000000,8.625,18.055,33.58,0.25,0.48,0.27,164.7984,0.088,2.1714,1,1
378432000,2031,0,0,0,0,0,0,0,0,0,0.49641642228739,1.1641851173021,8.73138837976538,18.2777063416422,33.9942054252199,0.25,0.48,0.27,161.338008451613,0.081565,2.12216164222874,1,1
409968000,2032,0,0,0,0,0,0,0,0,0,0.502841642228739,1.1784956011730,8.83871700879765,18.5023809384164,34.4120715542522,0.25,0.48,0.27,158.052434064516,0.07546,2.07454416422287,1,1
441504000,2033,0,0,0,0,0,0,0,0,0,0.509275659824047,1.1929248533724,8.94693640029323,18.7289201979472,34.8334057184749,0.25,0.48,0.27,154.932475935484,0.069685,2.0285475659824,1,1
473040000,2034,0,0,0,0,0,0,0,0,0,0.515718475073314,1.2074662756598,9.05599706744865,18.9572205278592,35.2580152492667,0.25,0.48,0.27,151.96893316129,0.06424,1.98417184750733,1,1
504576000,2035,0,0,0,0,0,0,0,0,0,0.52217008797654,1.2221132697947,9.1658495234604,19.1871783357771,35.6857074780058,0.25,0.48,0.27,149.15260483871,0.059125,1.94141700879765,1,1
536112000,2036,0,0,0,0,0,0,0,0,0,0.528630498533724,1.2368592375367,9.27644428152495,19.4186900293256,36.1162897360705,0.25,0.48,0.27,146.474290064516,0.05434,1.90028304985337,1,1
567648000,2037,0,0,0,0,0,0,0,0,0,0.535099706744868,1.2516975806452,9.3877318548387,19.651652016129,36.5495693548387,0.25,0.48,0.27,143.924787935484,0.049885,1.86076997067449,1,1
599184000,2038,0,0,0,0,0,0,0,0,0,0.541577712609971,1.2666217008798,9.49966275659827,19.8859607038124,36.9853536656893,0.25,0.48,0.27,141.494897548387,0.04576,1.822877771261,1,1
630720000,2039,0,0,0,0,0,0,0,0,0,0.548064516129032,1.2816250000000,9.6121875,20.1215125,37.42345,0.25,0.48,0.27,139.175418,0.041965,1.7866064516129,1,1
662256000,2040,0,0,0,0,0,0,0,0,0,0.554560117302053,1.2967008797654,9.7252565982405,20.3582038123168,37.8636656891497,0.25,0.48,0.27,136.957148387097,0.0385,1.75195601173021,1,1
693792000,2041,0,0,0,0,0,0,0,0,0,0.561064516129032,1.3118427419355,9.8388205645161,20.595931048387,38.305808064516,0.25,0.48,0.27,134.830887806452,0.035365,1.7189264516129,1,1
725328000,2042,0,0,0,0,0,0,0,0,0,0.567577712609971,1.3270439882698,9.95282991202343,20.8345906158357,38.7496844574779,0.25,0.48,0.27,132.787435354839,0.03256,1.687517771261,1,1
756864000,2043,0,0,0,0,0,0,0,0,0,0.574099706744868,1.3422980205279,10.067235153959,21.0740789222874,39.1951021994135,0.25,0.48,0.27,130.817590129032,0.030085,1.65772997067449,1,1
788400000,2044,0,0,0,0,0,0,0,0,0,0.580630498533724,1.3575982404692,10.1819868035191,21.3142923753666,39.6418686217009,0.25,0.48,0.27,128.912151225806,0.02794,1.62956304985337,1,1
819936000,2045,0,0,0,0,0,0,0,0,0,0.58717008797654,1.3729380498534,10.2970353739003,21.5551273826979,40.0897910557184,0.25,0.48,0.27,127.061917741936,0.026125,1.60301700879765,1,1
851472000,2046,0,0,0,0,0,0,0,0,0,0.593718475073314,1.3883108504399,10.4123313782991,21.7964803519061,40.5386768328445,0.25,0.48,0.27,125.257688774194,0.02464,1.57809184750733,1,1
883008000,2047,0,0,0,0,0,0,0,0,0,0.600275659824047,1.4037100439883,10.527825329912,22.0382476906158,40.9883332844575,0.25,0.48,0.27,123.490263419355,0.023485,1.5547875659824,1,1
914544000,2048,0,0,0,0,0,0,0,0,0,0.606841642228739,1.4191290322581,10.6434677419355,22.2803258064515,41.4385677419354,0.25,0.48,0.27,121.750440774194,0.02266,1.53310416422287,1,1
946080000,2049,0,0,0,0,0,0,0,0,0,0.61341642228739,1.4345612170088,10.759209127566,22.5226111070382,41.889187536657,0.25,0.48,0.27,120.029019935484,0.022165,1.51304164222874,1,1
977616000,2050,0,0,0,0,0,0,0,0,0,0.62,1.4500000000000,10.875,22.765,42.34,0.25,0.48,0.27,118.3168,0.022,1.4946,1,1
