,ema_road_model_17_07_2025_experiment_000,ema_road_model_17_07_2025_experiment_001,ema_road_model_17_07_2025_experiment_002,ema_road_model_17_07_2025_experiment_003,ema_road_model_17_07_2025_experiment_004,ema_road_model_17_07_2025_experiment_005,ema_road_model_17_07_2025_experiment_006,ema_road_model_17_07_2025_experiment_007,ema_road_model_17_07_2025_experiment_008,ema_road_model_17_07_2025_experiment_009
2019,3682019426.0,3682019426.0,3682019426.0,3682019426.0,3682019426.0,3682019426.0,3682019426.0,3682019426.0,3682019426.0,3682019426.0
2020,3711154292.12895,3660843850.623602,3643410271.8571925,3682597752.454235,3692059862.999218,3627896349.308085,3730659436.5306244,3644224062.691924,3593785764.5612235,3686887717.9645123
2021,3739464843.4068756,3607422888.116212,3591320505.634681,3655814758.612603,3710027218.297103,3600374099.527103,3778847970.0725565,3603211842.1007643,3523157955.5980415,3663587224.814679
2022,3770418315.769551,3594820259.4020805,3568378222.8460126,3659209742.0372195,3738822167.819368,3579813689.6858053,3844664301.1663303,3591248577.9933763,3462153979.2336397,3679383175.204841
2023,3822818954.6352158,3602740004.6413646,3562988569.217572,3682847092.289123,3798822544.645994,3586645514.934127,3948680931.021152,3602556674.976769,3439385354.296774,3738494529.409352
2024,3799751872.6175847,3537190031.8823113,3492462078.917138,3693357351.487772,3772415570.596233,3575523320.214783,3894905324.0547423,3589976905.6922417,3356065283.325672,3714261296.4670076
2025,3812611509.610132,3522726717.5333166,3482894831.3698163,3704191524.2980766,3800340643.930175,3566456297.098279,3954478453.5997853,3603135279.301711,3311755956.8735585,3740439303.1972895
2026,3838192043.3611164,3528709812.116803,3491399380.5952926,3729749422.5403314,3838530040.242992,3586564576.663645,4034022771.6678514,3629148921.538765,3288820170.395341,3774486074.8878055
2027,3896919698.4762254,3561175318.7243567,3537060833.8351803,3786584126.280817,3914527176.3164635,3641724278.624205,4150970240.537439,3692290651.8127394,3300344683.40911,3849855130.1666107
2028,3924031331.237333,3581290057.345215,3567172449.523422,3830703623.1011987,3971452746.2623663,3689529358.155338,4250195683.8455215,3743989751.185174,3298397827.6900826,3910814036.4199123
2029,3916298151.0994997,3588403152.353185,3585388333.7312713,3849185038.3491344,4019215309.9183927,3708401267.0643277,4329495697.462699,3789743449.6364164,3281766793.6103344,3962379410.6191797
2030,3942586542.9298773,3616785917.1905804,3632834330.1243286,3892638182.8108873,4090435916.5849757,3765802497.964384,4447951211.83861,3857352916.07545,3296619288.954528,4044685475.678733
2031,3931431355.8269143,3636537925.0165653,3665232500.8039155,3919561133.1099877,4138039833.4301977,3810510750.731283,4542033092.167576,3918200797.1789465,3296709501.4976506,4118953606.5017414
2032,3914089950.7957277,3662795246.8023796,3714178894.3521953,3954853471.5713053,4196382629.829536,3860354879.9964375,4640224719.247748,3989851112.7338924,3309646934.053092,4201493803.2854886
2033,3895806515.372426,3694621620.230437,3766743151.3129187,3987555713.67824,4268777780.683758,3923815502.656188,4749584892.529118,4075331272.848484,3335788735.9858108,4292220032.7329216
2034,3874847851.1565485,3732927431.9532523,3834331059.7011905,4026195209.0236864,4338271499.1789255,3993530710.972747,4868189122.5298195,4160423751.2993684,3370376039.7950144,4401406366.632765
2035,3859651610.035707,3782622954.551561,3910246332.0907793,4072186066.752055,4407450288.992252,4084261513.3484545,4994365630.723772,4263913470.584591,3415728154.7853775,4515095691.548156
2036,3849169474.375974,3841767709.2882905,4018398193.364953,4132752801.5945477,4497812428.211155,4192843795.42774,5136022583.962388,4385029824.120936,3487133606.7357793,4655778557.331889
2037,3822173513.7719655,3905453971.161433,4122442570.3982654,4180610339.417489,4586731149.649688,4303953499.231798,5261435202.326659,4507142285.261974,3557766010.166755,4796204754.199188
2038,3794335336.8901253,3971467255.4026804,4240455519.4249477,4239951114.0915484,4675908951.3894005,4418840652.149718,5394390638.902646,4634254331.049163,3640138217.222533,4948350664.197484
2039,3766943858.4246893,4047912210.5105505,4382278889.323422,4294267224.8839865,4773901962.947986,4549783323.855575,5546355737.955375,4775710820.870656,3736595458.897049,5118792595.359436
2040,3733638746.7411227,4131541242.242269,4530713444.602258,4353063037.9629755,4877745098.3550415,4707670813.633679,5694597088.493011,4931575064.085633,3848001612.6186,5294533844.557098
2041,3700954964.1614084,4224463474.90933,4692589814.206175,4412482530.250749,4978546236.9739895,4864180969.758547,5837631625.882646,5093063995.20934,3973595661.231045,5481840698.683236
