,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
experiment_000,1.0312514813774423,1.0424737333184242,1.0433388256204124,1.0445966722952837,1.048460712183569,1.0410623918326902,1.0417818172068556,1.0415937907095263,1.0443311516793623,1.0438973771792839,1.0444952894715827,1.0440929248822413,1.0436581621739212,1.0430057461131987,1.041013627738696,1.0411467810141926,1.0410392352224163,1.040553177822169,1.039541610614903,1.0389791413577916,1.0374542402473135,1.0367210232855288,1.0335379421320576,1.034186115614289,1.0328752433220942,1.0316023560887664,1.0302457102512574,1.0306278519543457,1.026899212321936,1.0265146490820423,1.0249280999710817,1.023949922579903
experiment_001,1.0312514813774423,1.0305861096406517,1.0297632686977658,1.0292346873326554,1.029948960271695,1.0313209048032477,1.030849970052541,1.0305560615468603,1.0333668903998536,1.0317585879648492,1.0330911752045404,1.0340852009353503,1.034043691562631,1.0351505336430367,1.0370866331106063,1.0385847020390897,1.040838459566401,1.0421562200136045,1.044999457157889,1.0484507779797352,1.052376517392317,1.05681313099542,1.0619650917385424,1.0653867726008044,1.0743904489649934,1.0818458359160965,1.090068496941952,1.1008926248301814,1.111594083953613,1.1250654781815383,1.1362449532064494,1.1530739627786448
experiment_002,1.0312514813774423,1.0303691778367783,1.029276792573634,1.0285207029528634,1.0287825498111016,1.0302026601593042,1.0294398831142224,1.0296858372823356,1.031939758643169,1.0328248867992986,1.0326503905238207,1.033812917040289,1.0357398982403776,1.0371071369296014,1.0384401062584603,1.042528914154723,1.0464239393738717,1.0504469572996715,1.0559971941343371,1.0628571349335736,1.0699536678251549,1.078088524660352,1.090736630349473,1.1017914031122198,1.1202235113202912,1.1360428858427911,1.1598760493041893,1.1853024120976796,1.2205332975330265,1.250068631534183,1.2985524167257338,1.3380974350392723
experiment_003,1.0312514813774423,1.0312285085138615,1.026140904092648,1.026197578035042,1.0220133238458369,1.0365559036903138,1.0373887892329345,1.0369325036824528,1.0392188019982802,1.0402372294866893,1.0404822932823554,1.0415250002068497,1.043532725253479,1.0449466215019758,1.0472007794263065,1.0491555652028974,1.0517789356305352,1.0537279423753447,1.0555307093114852,1.0590608336747624,1.0619486594011458,1.0639636127972563,1.0690797103853587,1.0715154123579398,1.0764414751602134,1.083674203907821,1.082586150974795,1.0911329643610008,1.0939864726793407,1.099292651164373,1.1035422321663668,1.1072515051105443
experiment_004,1.0312514813774423,1.041775561088701,1.0422210225739152,1.0432799602042417,1.046864036862914,1.038885865677503,1.0407127777290262,1.0422740533831465,1.045871769051191,1.048531163909197,1.0503946940277362,1.0535171849016178,1.056316874100235,1.0593491713508119,1.0640415537300496,1.065954537698597,1.0708162333013924,1.076869625549081,1.0816038102440722,1.0915262193342097,1.098419746446644,1.1037928644222674,1.1159557646645943,1.1241356716257604,1.1308811736041888,1.1462932843235918,1.1576795209726018,1.1695053409409313,1.1851364752184497,1.2100593447850847,1.2157686504357568,1.2289896206957236
experiment_005,1.0312514813774423,1.0349795839917293,1.0258294072334193,1.0252804747113786,1.0190857303683734,1.0318640792592315,1.0323626529904262,1.0324077107807463,1.0337281646075456,1.0350231382549682,1.035716851155631,1.0357933073130652,1.0385712770644229,1.0414723133070827,1.0435115023166275,1.0475214825126336,1.051075182873754,1.0553463908650376,1.0617431500272523,1.0669893864133995,1.0727228780323992,1.0870124755809998,1.0949908552457164,1.1097453648558486,1.120168037606915,1.1322752384527157,1.1579069408824587,1.1808294332512117,1.202302750616027,1.2377078397244636,1.2712985464628124,1.3042014135576836
experiment_006,1.0312514813774423,1.0432586031230855,1.0451292363350408,1.0479304082605445,1.0390535742747864,1.044094734249383,1.0476834558691832,1.0502920372537865,1.0581028141002884,1.0601974447759055,1.0671720919408818,1.0705507952283893,1.075970228459142,1.0840470934703466,1.0943542260062697,1.103610995195596,1.108239132494148,1.1218134184317186,1.133810204347085,1.149180402402576,1.1548924339122413,1.1641310615943508,1.195067374050601,1.207738361949607,1.2204651309882888,1.2512199950083824,1.267734544654655,1.2849714440491877,1.3201747671237902,1.3532259801459219,1.3676567809362032,1.4041087640445602
experiment_007,1.0312514813774423,1.0304504122661007,1.0259512729388698,1.025582397075721,1.0193240723457604,1.0335205166666794,1.0335792589579404,1.0342152965500895,1.0366240217781393,1.0370132502428848,1.0405998776320102,1.0426069733324184,1.045895049797421,1.0499569590866766,1.0535801726076686,1.0583603912404504,1.062479207136928,1.0706514234572369,1.0784241746631469,1.0868850618618644,1.09621707668993,1.107468843966902,1.119342900882932,1.1365971170846547,1.1475649855927725,1.1749829886965553,1.1976352479063328,1.22545649168056,1.2470911780093268,1.2754176362041787,1.329247728674786,1.3598481168899177
experiment_008,1.0312514813774423,1.0294102891618355,1.0262217502939979,1.0246750212420832,1.0243192847183884,1.0254661449978082,1.0239716912006844,1.0232402714714082,1.0243101756936972,1.0235078909843092,1.0233260635455879,1.0233582033650486,1.0233009167763483,1.0238493913913134,1.0244685152096664,1.0254643420224343,1.0270346587644077,1.0293587120498258,1.0312167849563616,1.0342509257186954,1.0382950575800605,1.0430167443975236,1.0485631046423187,1.0547334682653235,1.0629576278563346,1.0737204891441625,1.0851854598704564,1.1002547734735806,1.1185901075246991,1.137809306257197,1.1620011140492745,1.1943080016949614
experiment_009,1.0312514813774423,1.0314369170462427,1.0360269326330669,1.026633734354139,1.0223533748300544,1.036816789711914,1.0383950747626163,1.0390344718060718,1.0420897901618713,1.0442207852053436,1.0469580717079403,1.0494540750498704,1.0539361247408787,1.0582563937129674,1.0633341607819362,1.06857744839309,1.077298970110048,1.0863480487347152,1.0921002763395955,1.104794974277632,1.1155522171256733,1.1316902233920914,1.1506848719418248,1.170219655058859,1.1874049142367422,1.2180892167718431,1.2428745257407543,1.286240083835081,1.3015035430189599,1.3618706455146845,1.4108849298647486,1.4761312264542472
