,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
experiment_000,2671.0,2883.8808063693527,2898.469426317609,2919.2621581609515,2980.6707927667726,2859.6583096841687,2872.1232132178197,2868.886464235196,2914.9659721408875,2907.809017293121,2917.660427274924,2911.041943731697,2903.8394319070076,2892.9295495841834,2858.8296796919203,2861.147201884919,2859.427121981069,2850.7718315818306,2832.825510071141,2822.6972680886174,2794.8338324090537,2780.8971667673563,2718.7158813621168,2731.6098818558216,2705.038681833076,2678.4657754192453,2649.167864889314,2657.707015679645,2572.711729923889,2563.4668568596217,2524.227712131164,2499.092115614134
experiment_001,2671.0,2656.9354687940545,2638.5589554782764,2626.5413046231597,2642.723175693304,2672.6226730993344,2662.3792669082804,2656.015345632921,2715.095872925339,2681.770024191261,2709.4696063404213,2729.5917730226847,2728.760360713134,2750.574950081575,2787.793414734295,2815.529121013824,2855.772281137741,2878.393047078743,2925.890403983958,2980.44714595372,3039.156410246721,3101.5697252103682,3169.516450073626,3212.3171927314297,3317.687915114856,3397.859234245031,3480.1160608041305,3580.3137887208345,3671.6944139266216,3777.814227710709,3859.5470706659603,3973.5763964572443
experiment_002,2671.0,2652.0511797716126,2627.547049214235,2610.569080208857,2616.777534480817,2648.530483920778,2631.4205152136033,2636.7427475739155,2685.5864893364987,2703.8605838132053,2700.342953115604,2724.124145495438,2762.300321163678,2788.178651677497,2812.8427300926246,2884.7534034668424,2948.7756626263144,3010.6826521692024,3090.169284492084,3180.8623914106743,3267.0731502484714,3358.1728049749663,3486.5981681280496,3588.260886092301,3740.706100394763,3858.1152329926904,4017.0023690484422,4167.988423430843,4353.361966780745,4492.32367844583,4695.819377831704,4844.140209065105
experiment_003,2671.0,2670.509003750416,2553.910782530258,2555.304021968155,2447.085952085698,2777.765738965938,2793.4543993211073,2784.8924215511292,2827.026091313548,2845.2029700718626,2849.5252693421444,2867.699540330808,2901.8312251515435,2925.0311744399005,2961.03491529692,2991.2272557774722,3030.362029203387,3058.484529336616,3083.823695245666,3131.7070439178005,3169.306300526562,3194.769151767798,3256.820799102273,3285.2566033818416,3340.323283290683,3416.678644378824,3405.516919675983,3490.399278333623,3517.4065954314583,3566.0342707814625,3603.5920215736264,3635.4408657258455
experiment_004,2671.0,2871.8017521639727,2879.563937628951,2897.463093843531,2955.785812547886,2821.0070974325295,2853.572555218101,2880.5452956886306,2939.968032425236,2981.6826116386214,3009.9025788924096,3055.4807438423904,3094.6808760359704,3135.522350122053,3195.74192979298,3219.3441536691316,3277.0980958773744,3344.9907972315887,3395.344498264088,3494.158624091422,3558.170841112145,3605.770740598444,3707.0574959970513,3770.7729716759704,3820.986744357015,3928.8218224954644,4003.133364368733,4076.168069409826,4167.055009560431,4300.725634174364,4329.655302643591,4394.507250203963
experiment_005,2671.0,2747.259615417692,2546.644250632262,2532.9961929951032,2361.138425253619,2683.9942389580747,2694.4322316668586,2695.3695916838897,2722.4155271879918,2748.306382263195,2761.6874532005177,2763.164198209901,2815.2841836558846,2866.789473266195,2901.3976535640977,2966.051797738653,3020.012346554489,3081.261534278165,3166.6745487020157,3231.898670180063,3298.9368366127246,3450.2583621111808,3526.7663252578695,3656.3922736582463,3740.2745151506083,3831.1210480972522,4004.57600613165,4142.604915670744,4260.46186979262,4435.75052064898,4584.775794988688,4717.8762249531
experiment_006,2671.0,2897.055572782563,2927.9093571818594,2972.291237112451,2824.094983872701,2911.0718071542583,2968.5759641954683,3008.3685721420825,3118.929281389192,3146.6667431684573,3234.1000740599893,3274.02291124969,3335.163229435494,3420.4788603455013,3520.842313991144,3604.3230351167626,3643.7813747234877,3753.0125666775234,3842.18740815606,3948.063957172987,3985.325398151511,4043.4672557598415,4221.846075558476,4288.796221482482,4353.025523202725,4497.485652316135,4569.643693694358,4641.480943053002,4778.625667182212,4897.443062638434,4946.714901305394,5065.015785391204
experiment_007,2671.0,2653.8307695618596,2549.669763563635,2540.546814568213,2368.6022216481983,2718.1895664416807,2719.4057582427795,2732.1926142654615,2779.0588544130655,2786.413347100208,2851.7622980841434,2886.1998978452693,2940.3409830908913,3003.3450778992506,3056.4403906972716,3122.38020200457,3176.0703487151804,3275.1897409572334,3361.7756339527364,3448.994601221128,3538.0932529241973,3637.281219485366,3733.8372444723136,3862.0386814695653,3937.3322658858538,4108.707202598904,4235.672141963835,4377.457336480361,4478.891540899063,4602.080091224713,4812.125362704582,4920.23724843459
experiment_008,2671.0,2630.8530636316627,2556.2771272540276,2517.710045136699,2508.779449476463,2537.709863236631,2499.659792352761,2480.3703721270977,2508.8131492758903,2487.480316816608,2482.656298235234,2483.279570091788,2482.1175233432405,2496.602456326895,2512.602435703776,2537.436967358727,2576.0739714280503,2629.6048116294787,2670.258333162698,2732.903610304306,2810.230335968117,2893.1144912123063,2982.17308840047,3072.695172282695,3182.132981832411,3310.19278643569,3432.002566575265,3574.6415648212474,3727.9351732066307,3870.578434102097,4030.2847956506057,4217.7312870029555
experiment_009,2671.0,2674.91121171512,2767.590114047766,2566.2815311520253,2456.430667851764,2782.7085033216335,2812.0634475609663,2823.69843199352,2877.4012374249487,2913.150006997544,2957.221122475569,2995.7582002817476,3061.4429501503905,3120.988260345235,3186.8802220575744,3250.884698946753,3349.6517908289934,3443.652878036705,3499.624668820763,3614.4427457906318,3703.8279664942324,3826.878019829208,3957.9804910558355,4080.4556546618187,4179.761291129884,4341.2498777778665,4459.659768780548,4646.638093659387,4707.3809000883575,4927.136280563671,5086.1163291768125,5277.00981753183
experiment_010,2671.0,2874.419386168899,2877.1855282996753,2891.0682077569363,2938.5641788640582,2809.039847244275,2823.420066310954,2825.6645589050418,2894.5180321119315,2885.7689826736805,2934.911054700934,2941.5959353094513,2982.045406248717,3010.7232034967815,3027.7346073942645,3064.463545174919,3113.0403797448953,3154.7705269756743,3179.1307708599434,3254.1884959342474,3309.3452279697563,3354.80737685198,3447.981759732866,3510.939894581081,3602.3195034409805,3678.2021986943764,3769.261908553643,3836.9023405489083,3916.1391352224314,4041.9173592455604,4135.4815671653605,4213.693024349238
experiment_011,2671.0,2679.211477447066,2677.84944763372,2866.942317073388,2913.3613064919937,2792.83297398053,2782.648761083154,2784.9395212520353,2803.1549847334823,2803.2406272753415,2805.049446515067,2794.903053896096,2793.432516187843,2799.218623762969,2788.5796932696394,2766.837261157932,2790.610530159299,2790.3557374363795,2790.2532588071904,2794.8772966264264,2783.0364084558396,2794.9489824116104,2816.9294066229336,2809.123472692981,2825.984771580277,2854.9739755176674,2878.727875162595,2881.3602639251603,2931.6149218695346,2951.119968802176,2990.594850683428,3041.8407735755454
experiment_012,2671.0,2669.9971938077997,2667.194869600783,2676.710362742004,2903.155123315491,2771.3909517943616,2800.44402457599,2825.0181082362524,2914.7893019910925,2951.183004121842,3006.7174429473407,3070.670394571023,3116.2860429150346,3200.120361029681,3256.5528483985845,3339.712454432077,3443.969673251525,3527.7302057419583,3642.868052578087,3761.4373087240137,3853.5704936401335,3964.907333115697,4139.852776393469,4261.909053881692,4406.3879000386605,4508.24743390014,4675.756567645987,4802.741263972393,4971.463754876838,5125.790481723744,5268.897076392927,5464.55945498694
experiment_013,2671.0,2627.7901212178754,2541.61219169523,2527.4866902776957,2354.6783382431186,2694.1227791132487,2684.7657806420375,2674.2600776203453,2781.287182662342,2794.485652944891,2800.8070507289235,2840.1856930400854,2872.3322476859516,2925.2111323588524,2952.4718996167303,3035.1255378369306,3090.023866127286,3184.0456191025387,3263.7260799320184,3358.6761882168826,3466.5555692754965,3581.714581714183,3674.6242528004022,3820.9456446124595,3940.950430044461,4143.155341179757,4289.115142037866,4401.949780487581,4607.510030392254,4762.90769632717,4921.187015566103,5094.966260528359
