,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
experiment_000,5181.549486624639,5409.9648428937035,5366.086950086291,5402.911853688365,5590.640802581464,5280.088801540029,5306.111527334366,5308.3342622114005,5406.0162173066365,5388.469683426851,5407.279903024665,5426.2826594220505,5421.216583605294,5410.275507216227,5391.322471033281,5392.336967782689,5373.676150066372,5365.3186451334805,5347.8120843402,5342.612943526646,5325.001508641379,5314.088296362387,5299.76819813409,5275.3388160498025,5267.630078698311,5254.1458435711465,5231.131036024344,5180.827604134407,5155.242068503957,5139.832908292246,5115.525456387958,5092.379911227128
experiment_001,5181.549486624639,5165.663099415288,5148.204894128789,5061.751400202598,5177.348967486061,4966.449960530003,4955.31092306381,4951.754733691163,5056.621527969406,5018.518438913366,5052.748219016339,5091.446127002136,5096.110309616452,5134.233861527095,5228.169986078874,5262.565264594433,5357.09083698201,5418.87081295361,5487.803433684925,5553.630306812878,5680.153094899897,5803.190825406325,5920.255194260415,6014.8004811589735,6147.035815387981,6284.193774276777,6449.94866063492,6620.045440214531,6781.90529929127,6982.464857863368,7134.2616376588085,7290.200176066541
experiment_002,5181.549486624639,5161.657018825559,5136.882644930177,5119.966040663203,5146.398242066753,4921.306476586691,4906.734579669617,4952.563966229196,5015.244225829177,5049.332691142629,5042.193852769433,5092.6399828671465,5152.318279925052,5203.559504100767,5284.811390739311,5379.942498117275,5477.889811734591,5637.4073921024265,5725.9807857211235,5909.942995264737,6084.118458729226,6246.749808068185,6487.12063475959,6673.750286052376,6915.984714951988,7114.384109892692,7466.236457933176,7735.68470007602,8044.227780417939,8381.908785186877,8831.594761484053,9189.102450904726
experiment_003,5181.549486624639,5182.2895591387405,5158.631477202125,5165.315426531473,5143.353435996285,5153.386990737266,5180.016526863762,5183.339250733845,5271.696960948752,5309.967926515394,5337.064126501369,5384.433448190208,5465.452912243829,5538.74543213333,5619.180844078142,5701.435553740774,5766.074731374835,5883.461545960157,5966.1201715327825,6177.314888682922,6203.755399252386,6352.192547287017,6588.77996317475,6648.524515507763,6786.017207978163,6890.506773456345,7020.166959796417,7206.057851661399,7272.98296970833,7525.357331715693,7640.122598309829,7804.023925435455
experiment_004,5181.549486624639,5393.855918045243,5416.839301763917,5378.417916650535,5568.630784831019,5221.866765065639,5284.372763643954,5341.471137092593,5465.470298624251,5535.087861770314,5611.23228988456,5702.720171320267,5766.390799257252,5863.054091943606,5983.9562282718925,6083.899658029756,6197.521568639644,6330.0088500508045,6457.367346620666,6596.564703591563,6731.323296427012,6882.735081786783,7023.831782644762,7215.369980723773,7375.519902989519,7517.243827636674,7746.854111660655,7909.523116570306,8132.019399700168,8304.905261818483,8513.872250092814,8690.484045130228
experiment_005,5181.549486624639,5334.875463929761,5128.211150806976,5109.317651782472,5049.7133058198015,4986.348241260976,4995.846938938648,5005.016502697255,5086.254280765819,5108.794410454272,5122.554175440582,5152.365983316953,5236.549377737412,5329.728209464734,5387.8535850439275,5490.300505445073,5616.52429400558,5737.170359021135,5877.072617699893,6014.928881421727,6184.112093475087,6386.015574449339,6559.657290975866,6786.806527868559,6992.952180954395,7236.427554144293,7493.548418217577,7803.245139141926,8110.919703216958,8471.270821431352,8802.529863028685,9105.82668476917
experiment_006,5181.549486624639,5427.433619137872,5482.104808180157,5554.082022329863,5457.7557965543165,5344.36070422215,5449.930741914837,5521.790390575928,5702.234696431597,5772.965564131293,5898.44744560488,5999.100896386343,6117.927953253309,6265.895011302055,6427.899066900982,6580.2364585448995,6683.674790254065,6855.243578955544,7035.036061085684,7227.071018460792,7384.932400310883,7542.336946901547,7819.356556104861,7989.984859409922,8240.359176467718,8444.72750244305,8657.63312607134,8823.685862997012,9134.797912232425,9359.825854965533,9484.033581871003,9752.636787212927
experiment_007,5181.549486624639,5162.240060932529,5145.220432728094,5140.304464703736,5087.324985060961,5051.006056072491,5066.4373846751605,5105.498455040805,5222.738578163897,5263.543401968898,5338.403208126068,5458.671274207926,5571.384796204575,5670.392251202014,5753.905695361524,5916.476619623909,6056.032230074717,6227.076357432743,6387.417781075734,6566.337205884616,6744.306953346029,6964.363682788682,7165.365518518231,7410.957145509153,7638.576852781335,7915.899699513394,8139.114629602933,8476.132069805608,8723.060736432446,8992.628845863535,9317.257080538035,9679.678556080617
experiment_008,5181.549486624639,5127.747128679919,5037.035455360738,4985.581501187336,5059.3608238876595,4739.805781227883,4694.625137026804,4657.747738983495,4729.343795110711,4709.861489529829,4733.482375667838,4725.0949188932345,4751.130801242729,4773.46035061134,4828.727906422655,4886.25387420037,4977.055426738823,5067.94761077023,5151.786272031018,5273.716034682782,5428.6179887471335,5585.220194905696,5746.345800312163,5930.857430892394,6160.4911274738115,6374.228913297311,6582.928754614211,6850.78070219789,7131.512082314038,7387.792301404657,7730.610679300389,8035.646792879301
experiment_009,5181.549486624639,5189.993795365234,5375.419310587715,5188.813766909241,5164.047497002756,5145.691158289228,5215.5034600992485,5219.456617319618,5337.827036157336,5399.316079247559,5473.06296060075,5541.067508093925,5692.593484256808,5775.766634437316,5905.650161110143,6028.4127991585265,6195.660108602297,6364.969387787936,6548.168142657185,6743.280278135917,6926.675174595241,7157.866481282446,7399.339549548125,7699.439787373636,7951.211682411515,8255.491215199581,8615.661147035142,8896.015919684804,9217.562242963584,9612.452453774422,10000.085410182317,10371.426407761679
