,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
experiment_000,6453.210582729696,6670.040751987431,6688.665589377328,6724.385745704145,6892.401541930483,3814.507426398636,3449.435829032852,3402.2182301493094,4006.8116804233014,3943.5291854593916,3654.9437246550065,3631.9228374757718,3652.1721681866966,3696.128187283215,3901.5777764701243,3981.398108689985,3570.980666536269,3783.7164639489692,3494.809423310944,3799.437534012962,4664.52305769476,3984.3197867699337,3706.853119186464,3744.7951263053565,3675.2786567340036,3215.0408347749885,3775.6960978179013,3728.719021127381,3684.5382671064253,3714.034444634069,3672.116048652135,4092.8584837367052
experiment_001,6453.210582729696,6437.625753665997,6423.395089676167,6412.698322980232,6536.126764044368,3048.378557326312,3171.676250368106,3313.051722146479,3523.9134740462473,3366.275676488076,3057.838969736067,3146.3859899069475,3182.46009998867,3354.0484489688915,3831.713468581389,3921.200028874153,3205.201358090603,3793.1115106615707,3523.7136578347063,3606.8369971461248,3770.3992785376313,4092.553065799674,3742.3178691476232,4181.929610897025,4092.000145708524,4218.767650723621,4180.236777179306,4663.74649867395,4712.469001067211,4733.0725225134065,4489.991531599384,4850.081119172646
experiment_002,6453.210582729696,6433.135210118566,6416.190957577921,6402.330518758058,6515.784938167322,3291.551178544182,3061.936184664126,3752.4215924994696,3303.89315888217,3177.6044776849526,3742.8049241052213,3166.2184970544818,3540.1717839958674,3519.5624851479583,3380.913500930245,3452.4695331074154,3757.9553685861274,3468.9317232112217,3733.994482468289,3990.988437857929,4229.645257168465,4184.472553069153,4066.5170621591406,4156.5122678412645,4425.798756706759,4601.244588500042,4602.028664388552,4818.524286115664,5104.924808743872,5218.804155724112,5377.26900499279,5675.780677717613
experiment_003,6453.210582729696,6452.092060429753,6751.858119052858,6756.731999296198,6699.429936550523,3688.345330219501,3484.482119354181,3237.7128298052376,3815.008740264241,3867.1136162094344,3664.7853689378508,3747.0293394975033,3882.626798583621,4281.702818827171,4142.6962447052165,4075.0392596558586,3961.936504889687,4300.114767573892,4321.8901028945875,4450.329346439324,4556.4255202294,3640.06792701099,4630.217171772014,4769.971663101767,4665.216178369825,4842.484874512462,4834.968674395719,4831.34701827941,5000.546420300805,5261.997613139807,5144.423925440748,5426.615483013562
experiment_004,6453.210582729696,6659.339120041025,6675.75601742926,6713.267411626684,6893.577576670046,3556.3833484277657,3457.606600867644,3552.884540504312,3973.936829249087,2676.2563277050594,3624.8689355667775,3852.703916411627,3707.3306670225525,4038.6858498429783,4377.274865876006,4401.894255927887,4303.595247548792,4700.561858748851,4904.869566671268,4536.235946845677,4251.556340265666,4273.305106534025,4580.000416121972,4807.505148203678,4753.092935547489,4920.675695224336,5236.151386671322,4986.361276298644,5434.069199528842,5424.389017962483,5888.478767996599,5630.760538883245
experiment_005,6453.210582729696,6729.563166892111,6532.5703489653215,6514.648116420839,6631.259896275593,3550.0929894938345,3162.28343650034,3824.120585245567,3527.0787806547924,3534.3468597627507,4044.8249477850586,3424.5222742552387,3664.833192402846,3827.5737981977663,3822.6207649090506,3955.1454607836686,3484.5788160946645,3802.899371368657,3984.6034299179396,4376.904347574277,4198.5505446262205,4280.803584541709,4192.863138542334,4339.804102303736,4714.078688692105,4840.215794311297,4691.111059455851,4473.595488578212,4924.884675472427,5306.2659881583495,5557.9420722115565,6125.917474525425
experiment_006,6453.210582729696,6692.440669748417,6746.113971224845,6821.032783378837,7136.6035708744985,3358.6712429399686,3532.0365592462217,3364.418601384208,3490.555413096347,4089.4688693617286,3945.30807400306,3955.471068585017,4053.600082676429,3566.2827682787565,4370.041517356611,4348.240695820647,4277.459198708142,4624.704462331027,4505.16718059929,4796.446195748746,4779.749585556708,5045.159837781257,4475.179567337018,5184.793101634016,5073.440873364579,5392.144287082301,5478.466657569608,5528.904649954979,5902.375854620724,5791.031866606536,6104.579972329886,5862.244838323999
experiment_007,6453.210582729696,6430.515541247814,6518.896666363487,6516.46499376771,6648.57899648689,3100.8674304186957,3661.6853849644076,3261.382349549469,3364.0944880061425,3789.8905449601793,3255.3952188138423,4056.3406208895976,3843.0332481593596,3908.759438002825,3887.5519500411474,4227.550908367114,4340.805225036021,4192.0804125141585,4086.154182018149,4466.126123081492,4579.088024075051,4594.519830540918,4705.082888862026,4674.997529040221,5219.456049707172,5230.64001150553,5167.195842597241,5703.339935722517,5549.854628834502,5393.99560478922,6173.29722540018,5955.27478495506
experiment_008,6453.210582729696,6429.725960706488,6314.25603204499,6256.525460523493,6339.500508207008,2739.369203188027,3144.627225332177,2810.800625202459,3103.4713077151337,3609.8620161313047,2928.337066066314,3403.028967279794,3333.9436747284144,3522.6763044213258,3406.5308835029737,3277.511006979761,3195.082340089746,4128.480157404606,3732.8864710549883,4285.207741051917,4105.595864818228,3868.805649977112,3819.9055103544542,4079.6548902660693,4089.445381365653,4729.73269672488,4359.0427351281605,4865.20947132973,4546.593368970867,4823.688961371081,5038.967014518207,4969.1962528698095
experiment_009,6453.210582729696,6460.81460938813,6742.734338879602,6767.448703752158,6753.80227350871,3796.3404128907673,3251.6715932856505,3605.523865980652,3943.012074116964,3895.3908501550627,3640.8483025318174,4457.847647366983,3648.6912613879995,4353.749836510544,3853.59881505994,4049.294232186711,4099.895192449065,3319.3181471741345,4141.86090161947,4490.551741406705,4638.301491651941,4548.637340334957,4849.68494100798,5062.462955588302,4986.78816482714,5186.532278603772,5209.619897230377,5861.412117799029,5780.034481927807,6076.536468236682,5925.435246700157,6437.268272464198
experiment_010,6453.210582729696,6670.642340543455,6684.717623831771,6721.412419137852,6894.9336945711,3414.726404013787,3116.2683464380743,3388.07099304705,3464.7234758571085,3527.828700816346,3479.474462139173,3259.276737057563,3599.673686895323,4145.150246239196,3594.1956356803025,4255.918145404664,3583.9970102421103,4289.935986861744,4323.950805261412,4412.343567467728,4155.847528588962,4265.508262596,4450.415293582952,4532.790541952516,4530.967962903949,4780.171224563259,4753.461723550774,4773.020063840499,4961.191041113007,4862.601916680181,4769.256407327031,5028.708972342288
experiment_011,6453.210582729696,6476.105251091135,6487.725055926492,6671.277094319487,6819.835645401475,3500.120917724018,3652.2224952071074,3353.897211046977,3395.8723159291385,3845.2206765235665,3956.6724511922275,3864.3580481441563,3793.633856320858,4070.0517954353163,3588.3363132908,3700.501191860304,3477.6680578418755,3712.2586671153053,4062.765668709962,3839.203968262086,3623.6672149644446,3856.224075960435,4293.825469230871,4067.087584322677,3884.300797023653,3790.3699858693913,3847.6676224462435,3997.3574212223107,3850.0389419699313,3962.6438494414333,3938.222889595121,3966.336600221028
