,ema_road_model_27_05_2024_scenario_00,ema_road_model_27_05_2024_scenario_01,ema_road_model_27_05_2024_scenario_02,ema_road_model_27_05_2024_scenario_03,ema_road_model_27_05_2024_scenario_04,ema_road_model_27_05_2024_scenario_05,ema_road_model_27_05_2024_scenario_06,ema_road_model_27_05_2024_scenario_07,ema_road_model_27_05_2024_scenario_08,ema_road_model_27_05_2024_scenario_09,ema_road_model_27_05_2024_scenario_10,ema_road_model_27_05_2024_scenario_11,ema_road_model_27_05_2024_scenario_12,ema_road_model_27_05_2024_scenario_13,ema_road_model_27_05_2024_scenario_14,ema_road_model_27_05_2024_scenario_15,ema_road_model_27_05_2024_scenario_16,ema_road_model_27_05_2024_scenario_17,ema_road_model_27_05_2024_scenario_18,ema_road_model_27_05_2024_scenario_19,ema_road_model_27_05_2024_scenario_20,ema_road_model_27_05_2024_scenario_21,ema_road_model_27_05_2024_scenario_22,ema_road_model_27_05_2024_scenario_23,ema_road_model_27_05_2024_scenario_24,ema_road_model_27_05_2024_scenario_25,ema_road_model_27_05_2024_scenario_26,ema_road_model_27_05_2024_scenario_27,ema_road_model_27_05_2024_scenario_28,ema_road_model_27_05_2024_scenario_29,ema_road_model_27_05_2024_scenario_30,ema_road_model_27_05_2024_scenario_31,ema_road_model_27_05_2024_scenario_32,ema_road_model_27_05_2024_scenario_33,ema_road_model_27_05_2024_scenario_34,ema_road_model_27_05_2024_scenario_35,ema_road_model_27_05_2024_scenario_36,ema_road_model_27_05_2024_scenario_37,ema_road_model_27_05_2024_scenario_38,ema_road_model_27_05_2024_scenario_39,ema_road_model_27_05_2024_scenario_40,ema_road_model_27_05_2024_scenario_41,ema_road_model_27_05_2024_scenario_42,ema_road_model_27_05_2024_scenario_43,ema_road_model_27_05_2024_scenario_44,ema_road_model_27_05_2024_scenario_45,ema_road_model_27_05_2024_scenario_46,ema_road_model_27_05_2024_scenario_47,ema_road_model_27_05_2024_scenario_48,ema_road_model_27_05_2024_scenario_49,ema_road_model_27_05_2024_scenario_50,ema_road_model_27_05_2024_scenario_51,ema_road_model_27_05_2024_scenario_52,ema_road_model_27_05_2024_scenario_53,ema_road_model_27_05_2024_scenario_54,ema_road_model_27_05_2024_scenario_55,ema_road_model_27_05_2024_scenario_56,ema_road_model_27_05_2024_scenario_57,ema_road_model_27_05_2024_scenario_58,ema_road_model_27_05_2024_scenario_59,ema_road_model_27_05_2024_scenario_60,ema_road_model_27_05_2024_scenario_61,ema_road_model_27_05_2024_scenario_62,ema_road_model_27_05_2024_scenario_63,ema_road_model_27_05_2024_scenario_64,ema_road_model_27_05_2024_scenario_65,ema_road_model_27_05_2024_scenario_66,ema_road_model_27_05_2024_scenario_67,ema_road_model_27_05_2024_scenario_68,ema_road_model_27_05_2024_scenario_69,ema_road_model_27_05_2024_scenario_70,ema_road_model_27_05_2024_scenario_71,ema_road_model_27_05_2024_scenario_72,ema_road_model_27_05_2024_scenario_73,ema_road_model_27_05_2024_scenario_74,ema_road_model_27_05_2024_scenario_75,ema_road_model_27_05_2024_scenario_76,ema_road_model_27_05_2024_scenario_77,ema_road_model_27_05_2024_scenario_78,ema_road_model_27_05_2024_scenario_79,ema_road_model_27_05_2024_scenario_80,ema_road_model_27_05_2024_scenario_81,ema_road_model_27_05_2024_scenario_82,ema_road_model_27_05_2024_scenario_83,ema_road_model_27_05_2024_scenario_84,ema_road_model_27_05_2024_scenario_85,ema_road_model_27_05_2024_scenario_86,ema_road_model_27_05_2024_scenario_87,ema_road_model_27_05_2024_scenario_88,ema_road_model_27_05_2024_scenario_89,ema_road_model_27_05_2024_scenario_90,ema_road_model_27_05_2024_scenario_91,ema_road_model_27_05_2024_scenario_92,ema_road_model_27_05_2024_scenario_93,ema_road_model_27_05_2024_scenario_94,ema_road_model_27_05_2024_scenario_95,ema_road_model_27_05_2024_scenario_96,ema_road_model_27_05_2024_scenario_97,ema_road_model_27_05_2024_scenario_98,ema_road_model_27_05_2024_scenario_99
2019,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913,413842492.96288913
2020,428703198.71876454,427066729.3099698,430023867.2255658,427674601.6498016,427438906.15581656,427317478.9893058,427672240.69870377,411180147.6264816,417662489.3164959,415986247.6040777,424727606.1234058,412346750.0513003,417968257.8404981,434541655.38497025,428934053.37089825,419022400.2562399,418345499.37115395,435634165.3069373,412926203.7139249,436023712.38543487,418887381.3036888,415481268.0961832,418058888.68137133,430985057.4943359,425235554.4441331,427583129.64977145,420153989.9526234,434572517.88693035,428982785.1278155,434003927.15610856,430420484.3154702,428686361.1249434,422531922.09888756,424150570.47396946,413202154.7496948,429293834.35655034,427796790.536051,416049637.33900195,420232658.0308069,428285892.4996519,419507384.5115878,425184967.79228723,428423122.2048741,428185582.83209765,440154412.61859345,427655835.34125197,437180312.2748929,422223992.71081674,431318997.5883507,429117224.5283824,425851569.7922285,428832613.0128572,418839494.09634376,421630772.329201,418629484.75080085,418068281.3121431,417810410.45383084,427071065.2745341,426790536.0057356,431562016.85284746,419907563.4279449,419193439.7297013,433280411.49929905,413280487.5986318,425560999.9291204,429404112.0155532,433400645.68303275,435319374.7597331,430178852.8438285,424194360.9157041,425178994.2251711,415374585.3430441,413929991.9202938,421232538.4463008,429910091.6402023,410738762.17536134,417359105.70320785,420333833.62647647,426923661.41658574,422535015.48882735,430905704.12109137,424539770.599862,423685524.3596945,422065923.5037614,425476443.0192703,431431761.37480783,434398656.240446,426815516.75654745,428676788.7676214,423042443.71447575,416410494.95532304,411464999.92556393,435851806.37798333,414520898.2760624,419794988.1445271,418865859.9909187,434516797.7430346,429530741.1263097,424597374.79872817,427334593.2349025
2021,441280800.29370826,436172583.91051483,444366025.37895465,438095552.34665406,437564504.62861764,438603449.267031,437820112.2861375,409114673.6388755,420044394.94655854,416779422.29483515,433636206.6671443,409805483.1553098,420280131.3778245,455174440.673415,442320169.7033631,424336234.5335698,421030511.53120565,454591192.85482323,412547761.0995798,456485332.1160043,422626956.5503109,416293508.10270095,420715370.1420704,447427340.3969481,434896774.84996766,439450053.59985536,426200138.0723575,452041832.6334505,443289490.6134402,451774576.2261873,444772030.7181837,439492788.46479744,428849760.0514128,433552479.88783383,411665861.6055377,440717525.6154427,441102097.58315045,418593828.8899243,425274355.4219595,441702224.73451835,423828677.54334784,435068028.74249685,440279049.16823494,441839922.9344995,462476599.2996056,437648446.59620047,458746108.5626701,427001812.9793894,447168848.9790066,441846132.2859804,434785630.0381782,443022928.6699705,421074557.5078553,428062499.0251776,421312766.42082226,420056212.5052955,421499957.37438,439286627.37877214,436763630.9594868,448481472.24834824,424810669.1604095,423709734.1201856,452496944.27419823,413192370.1518384,436159862.4232323,442950240.0802691,450251423.07812196,454060813.2938343,442874942.065053,434064129.7734884,434123796.1914861,416505542.0649417,412740711.1469244,425305718.0384826,445218042.6586302,408510177.2774242,419545301.9430181,426258420.70372975,437126104.81622183,430036710.88061786,444408496.92808247,432096472.29669106,430195180.60260165,429300338.4416482,433695972.1333047,446346237.637791,454069525.05891204,437436142.78664935,442375133.7864157,431654279.67883956,418477008.5834507,409953429.42343307,454434242.8061811,414716322.8419268,422811493.4541156,422500969.9220109,455237410.74113125,443127962.26435554,431620973.4836775,437702040.9946077
2022,451444503.9438302,444653641.02692914,457947247.0069236,447999296.5101722,446534322.2930658,450195173.33531797,447073148.86720556,407181678.57128906,422620615.9337298,417001222.40480745,441381827.3401044,407049934.3347333,421346372.02224076,473609618.2896512,456016047.2862059,427530988.18675613,422674847.8241102,473326129.2308018,411934240.55597556,474711396.95613974,426865709.7547946,418518270.350986,422932447.02716136,462119834.42965114,444243840.4453974,451858911.4979377,431123512.19502556,469641218.26643133,455138553.30250394,469357868.91796684,456885278.42653596,449510342.5050039,434579355.53308564,440920436.89613533,409917626.04416263,450879478.6899101,452182019.97008044,420435958.84631765,429556937.8610134,454382807.2578997,426324407.4359895,443272494.35693455,451088630.4610052,453366974.6250315,484166007.5277058,447366247.4364058,477653389.60957325,431411961.80616426,462073117.5233149,453699700.8887396,440937389.495817,454693801.3300349,422477261.92660755,433040519.16346186,424069289.2600685,422169094.43404806,423073588.08789706,449462437.75209314,446626057.53489304,463296962.79881597,427609839.15485775,426441709.36933637,470172967.3896724,412115483.48818076,447267399.3071925,455102172.08003896,466203968.5805361,471901810.03930736,455180959.4036566,442349738.3912134,440679872.74101007,417676789.9840615,411869242.74631035,428078604.06571174,458553641.40491444,405995963.41386724,419613259.5477816,431469561.2107496,445611708.38530636,434941927.2449945,457251389.04442585,437841310.4447731,436417685.0369097,435599721.85817367,444003233.6870892,459765418.8046709,471413507.51356,447698317.3029908,453662887.9719146,438751621.5063268,419976103.7013002,407075321.84674335,470556160.5047705,414912744.9147657,425884746.1223178,424373602.4299702,473345205.20612836,456401320.03862,436710370.6521569,447579667.31674606
2023,460145379.92255294,450448138.3263742,468810914.57561517,456130030.4154885,453474184.4832407,459799622.3757864,454147539.69974136,404915083.6790049,425610185.77809083,416794497.343307,449731686.3120897,404034245.97347444,423657010.3469701,490993797.03445685,469714779.5222408,429330284.4489005,423689075.1473489,491642648.7871345,411480735.15953875,491733769.47515565,429296375.8972509,419075118.9604649,424050392.01582277,475125487.967036,453361888.9953307,461018782.50745153,434892803.27122015,484716153.9320948,465889732.7350644,486285541.29602414,466369632.051096,456580022.1306086,439264026.11518365,446590475.7259335,408410588.11291134,458515515.80485666,462486065.86992294,421198423.03311884,432734335.4660102,464169322.7659187,428270637.5492103,449516414.17395246,461262930.2538339,464143165.43967724,504068038.6448221,455108161.2309227,494448864.8256943,433599313.11044544,474558831.46513355,463828075.36587584,445940301.8641473,465119520.9017024,424105451.8542361,436493252.8257053,424663083.1097695,422524398.3088181,424549640.8503626,458017600.94752276,455161573.85533774,475894299.554054,428921943.25172186,427005669.6063013,486119700.3034743,410895428.429557,456203080.4693313,464222313.69226134,482775890.3934831,489737221.924067,465130472.0747342,449334229.8368975,446704031.0492681,417658174.54583263,412936268.3724882,429555439.07183415,469886986.93624663,402845882.79173577,420054340.03154147,434772987.5557976,455733360.3841721,438554158.91469765,466147670.52813846,443894868.2522179,442561895.68150496,440397120.2463993,451199674.5966226,474252528.25550336,486843720.74155223,456251540.95753384,462768164.3223051,443366530.95450103,421206771.39338505,403738212.43158793,486605967.7157393,417002556.8746046,428325944.24610424,425517854.337275,490397338.90307647,468414295.82639027,440279795.09061307,456299608.61567295
2024,449626419.78143656,437380400.8422178,465244796.1035125,445587525.2610618,440831161.9999372,450941433.1061179,442291964.35875726,389036639.0898535,413248521.1320965,402629441.9560052,437084120.463142,389693687.009654,406670301.7577195,487772764.54266024,468728324.8082795,414622137.69230723,408814515.37197304,498333795.4044541,396216797.9323039,487949899.30484986,417132704.87873554,403352272.0340487,409347713.37636775,468243319.96566355,448186422.6783737,456687156.19234776,422660223.0211425,478940760.3152849,457722960.6494464,483839783.28351635,457787078.4932698,449145068.25456786,428297582.737143,434883627.81309783,391380959.38202596,447398254.5703153,453623267.30424726,406704804.66965324,423405160.0834011,455000356.8783946,417921811.90521175,443355034.5624207,452323356.0926962,456292393.92292655,503877327.52227855,448219466.25249034,490631082.2955299,417611607.5945996,471932291.9411089,459558954.24802136,434007350.99086004,457198969.26259035,407131293.274433,423485714.61062884,412022023.94640917,415995754.07450044,408016186.09067726,448991802.3749603,447478057.69449705,473637347.22090185,412253360.6566969,410099214.95835656,482407538.8455873,395611899.84573865,453026527.48815066,454568520.1643687,475710829.7071286,486697630.8538286,456159078.06084955,437723438.12784344,439269897.2788329,401855764.2169229,396199821.43630093,417707166.3956156,466030197.26017666,385218404.5673564,403632516.3243042,422290504.8290297,453051968.58303225,426682622.6001673,455760961.68650377,428727813.0656284,430028346.2299396,428051531.0192983,445927197.82232845,470383858.1099471,486242033.47175235,448781394.2433935,457364464.92373276,436014843.72173655,406553121.05136824,385976943.24889994,484453798.2917922,399479241.13492477,413625574.66483986,409516031.3345043,491979031.7334728,462373804.141145,425817610.1169665,446616537.84880376
2025,460398357.41220033,442387689.070292,472342620.96400166,453196999.21171665,447522621.76629996,464668387.9034782,447403767.24866927,387161579.62373567,414333564.29103297,401730139.171862,444403543.03053653,383805283.8295072,409512501.48142534,504772322.77589303,478953084.4256171,418795354.1071185,413981223.30856866,510168611.020512,398886061.40579903,499947257.77490675,417731655.79573095,405382374.72378707,411205843.7167281,481470985.2528124,464018639.8960834,459427847.14768565,426227059.38024026,496848368.70276856,466887172.64027107,498721128.2548544,468717214.62846184,449655501.2448813,431091972.8512884,441362081.7385856,391797463.9505421,452692234.2437515,467989711.5825496,407843130.359658,423304002.4930564,464765645.3751469,414429538.48542094,443290084.7251216,462055763.21654737,465952272.14121854,514281118.3488362,449039799.13936794,504374772.1089875,421593118.9856478,478348426.23385656,468892362.8013568,434781978.0701967,469448002.18511844,409225996.71843547,426064798.6261407,407232822.9556866,408871207.1827891,408833641.94168913,459106566.7477173,460267712.1989048,478987857.4430009,417012253.60196906,411038360.797259,502478948.8028764,393848786.0567379,461851341.6540881,461755465.0334743,493931914.62288433,505304005.98196614,464135090.39186835,444920527.30629754,442302036.85626984,409029550.9968792,397466896.2979597,414523427.84953016,473254282.3353333,383907810.9477596,403136778.269915,424535577.9636866,458988973.42871344,430835643.7472589,462304220.9197939,437799325.5943011,435023978.405018,435729305.2243014,451351801.2558761,486242996.9860443,499000863.23669875,458849143.0459938,459778401.3801945,436780121.7028957,413377200.6738688,383190898.51473236,490531051.4355483,403330136.2094711,415668514.0456456,410716188.3958137,505019306.41631377,474570238.19404185,431610581.9296265,459081633.8404353
2026,459959566.4028709,449701867.88476855,488087269.343959,458526888.05132747,456124807.16590303,472145248.6729461,452246763.13011575,385933008.292339,420634787.7899234,400130393.25891125,456846753.69968975,382789398.62988,412348335.0604615,515781736.71406716,494435602.60107076,418465283.4278044,410152124.34405756,520675042.42446023,397897538.31575245,510909797.7801544,421426515.1285197,405830615.4050106,418515969.29699934,496297088.07390934,464276452.8076403,467121141.4467614,430874731.3247634,504970076.80765384,480362821.3814059,517356307.2342925,470288435.2395029,456956583.1463717,435390900.2475591,444168777.7341892,392206664.34806955,455582509.8596822,471365732.19865227,410755872.3480431,426879431.7690793,472205938.77893525,419560460.59393334,448582746.02289003,471214478.15562105,473592888.02535224,527951605.0330898,457129736.95152307,520016931.4725232,422237688.79925513,493197167.8094231,473425174.5520134,436308525.7678888,472468225.13692296,407616966.85083276,433209354.1398145,410194127.88807243,410116318.0177247,409787032.077709,464117699.5651146,462865159.5399537,486644977.1918978,412528342.5233141,411718299.80012673,512217575.16247356,394751911.3698344,465244795.9892489,468432472.4806243,507701186.4023973,517590911.5214939,479577268.39451444,455078246.77521026,441471787.05333555,406508665.14912486,397461322.20771134,415389918.6657345,479475770.27777874,383196446.8092586,406372663.06880116,427300538.38072443,456743400.15892565,428456904.5218534,466861855.6939392,438209695.6842108,436130338.07914233,439115107.32742155,451698388.4781051,498950129.13849616,511361429.0187439,464958345.10178196,467823876.54147637,442035398.8482458,415595390.9437215,381934592.2215527,505544645.21293044,406549155.5501324,418666757.635524,412117676.28842497,519253380.1285515,494822820.1483081,429739448.06321424,462250011.414587
2027,465383634.3771795,453386037.12662554,492435757.18410444,469275065.9341731,455601877.3834576,474463473.7264169,455740494.9613017,387507526.6853915,422197872.0619825,401500874.41551316,458922828.7477112,382726681.4491008,415798323.06715655,524317819.2845117,500138507.17961925,424488162.3822719,411698090.82185614,535920406.33223236,401440517.43611413,524503240.79878896,424482513.7021924,412341905.3679074,415996971.8873812,504416365.79643476,470053951.45416415,473168757.12158483,441144153.27786136,518340514.89778507,488834106.5859184,526141454.24570453,477783254.63926005,455445502.17344,440544882.12833357,446407139.15895724,394315180.7577326,458854318.2584131,480613141.75753963,414709554.97113883,432440772.4504988,486364807.46934426,414735398.71195984,454311908.4672016,481048593.56507266,482629278.9714759,544145994.236702,455274836.4468299,522722008.72240156,421895221.5177067,502327229.1721889,480855503.36575425,437261436.74527884,478550349.0505508,409057065.3243464,432953350.4410994,405612769.4610795,410882364.1679692,410203097.6628407,474320777.80987805,474143016.8082693,493562982.80283153,411319271.76887184,408689264.0912506,526970859.3406043,397361234.6112795,473592403.6563894,471316212.4844268,520724474.3434073,529284212.5267637,485268209.64935374,458103777.6118077,444135939.3129091,412363979.0644389,398433907.6125359,415266817.94986355,486678055.33743507,383214213.0496112,402145091.16760933,433866296.0441623,461586220.00778806,429274062.44663954,474865097.87004805,440047648.9275112,441403108.3886534,443770576.4708818,456358753.3770114,509532281.16101825,519493644.44204146,473897636.53341913,474668487.5891867,445037486.5256674,414412855.68505204,380762881.53284466,508798580.0712836,409084782.8960424,420840663.6239778,410356525.1679492,530443034.65154916,499666951.52639365,429335465.8723412,469542795.5395429
2028,467540573.28529507,449270407.8906568,506260074.96521544,468878383.93896127,458754463.48333824,486192906.6660538,457373711.2850473,391095869.62529767,419880453.27384907,401870200.6019635,471608228.9784608,383368876.7851136,417301698.50107515,547786996.2616107,517715045.2155848,422965454.0844437,413218829.8275261,551609566.5957258,403739090.2413646,528386894.24074125,430616793.432295,409711635.6247317,419548303.9918655,514970727.978106,477939693.5095883,479877514.83095574,441895426.08938265,525748762.96670955,496037519.2448395,541910899.8308493,481502898.20041513,457543433.05327326,445402650.61682713,449636678.6165563,395881064.8335599,463703000.5013299,487203860.4162518,421986619.0890175,437438218.1551455,484131475.219899,414549430.975332,454165064.1626904,488033987.5616462,490396801.6096973,545916967.6246073,457900182.511817,533313454.8031589,423459705.4255177,506089125.3518446,494437591.4927966,435662299.7781445,486104376.7662286,409395056.3279718,439225365.5810653,406606255.03059685,411769574.763937,409395781.7934524,478025681.18808734,478667371.0795781,498205370.0555516,409830862.1156019,406184440.3001071,531740776.9151422,396501209.2740539,481308840.5405179,474652988.904836,526896805.7356683,538091357.7310181,490272155.4157707,468226581.3104488,443875166.2661274,409997162.934455,399625034.6431804,415733708.172071,494294480.91266996,382153051.2495598,404291986.8597826,436295577.0174513,470988173.3237391,430565845.2789582,476020797.6853421,441980845.6527212,443368293.549767,454922835.3702584,463211165.23087114,518763252.0699095,522533519.5560159,482005593.32203805,473665796.9093688,448444798.71049905,417907633.0040258,379062163.98886615,521378913.55860674,411369147.8268248,422668387.4376967,410352598.45196486,541460530.6743039,516063632.4576455,429962386.61970687,475521226.06253624
