,ema_road_model_27_05_2024_scenario_00,ema_road_model_27_05_2024_scenario_01,ema_road_model_27_05_2024_scenario_02,ema_road_model_27_05_2024_scenario_03,ema_road_model_27_05_2024_scenario_04,ema_road_model_27_05_2024_scenario_05,ema_road_model_27_05_2024_scenario_06,ema_road_model_27_05_2024_scenario_07,ema_road_model_27_05_2024_scenario_08,ema_road_model_27_05_2024_scenario_09,ema_road_model_27_05_2024_scenario_10,ema_road_model_27_05_2024_scenario_11,ema_road_model_27_05_2024_scenario_12,ema_road_model_27_05_2024_scenario_13,ema_road_model_27_05_2024_scenario_14,ema_road_model_27_05_2024_scenario_15,ema_road_model_27_05_2024_scenario_16,ema_road_model_27_05_2024_scenario_17,ema_road_model_27_05_2024_scenario_18,ema_road_model_27_05_2024_scenario_19,ema_road_model_27_05_2024_scenario_20,ema_road_model_27_05_2024_scenario_21,ema_road_model_27_05_2024_scenario_22,ema_road_model_27_05_2024_scenario_23,ema_road_model_27_05_2024_scenario_24,ema_road_model_27_05_2024_scenario_25,ema_road_model_27_05_2024_scenario_26,ema_road_model_27_05_2024_scenario_27,ema_road_model_27_05_2024_scenario_28,ema_road_model_27_05_2024_scenario_29,ema_road_model_27_05_2024_scenario_30,ema_road_model_27_05_2024_scenario_31,ema_road_model_27_05_2024_scenario_32,ema_road_model_27_05_2024_scenario_33,ema_road_model_27_05_2024_scenario_34,ema_road_model_27_05_2024_scenario_35,ema_road_model_27_05_2024_scenario_36,ema_road_model_27_05_2024_scenario_37,ema_road_model_27_05_2024_scenario_38,ema_road_model_27_05_2024_scenario_39,ema_road_model_27_05_2024_scenario_40,ema_road_model_27_05_2024_scenario_41,ema_road_model_27_05_2024_scenario_42,ema_road_model_27_05_2024_scenario_43,ema_road_model_27_05_2024_scenario_44,ema_road_model_27_05_2024_scenario_45,ema_road_model_27_05_2024_scenario_46,ema_road_model_27_05_2024_scenario_47,ema_road_model_27_05_2024_scenario_48,ema_road_model_27_05_2024_scenario_49,ema_road_model_27_05_2024_scenario_50,ema_road_model_27_05_2024_scenario_51,ema_road_model_27_05_2024_scenario_52,ema_road_model_27_05_2024_scenario_53,ema_road_model_27_05_2024_scenario_54,ema_road_model_27_05_2024_scenario_55,ema_road_model_27_05_2024_scenario_56,ema_road_model_27_05_2024_scenario_57,ema_road_model_27_05_2024_scenario_58,ema_road_model_27_05_2024_scenario_59,ema_road_model_27_05_2024_scenario_60,ema_road_model_27_05_2024_scenario_61,ema_road_model_27_05_2024_scenario_62,ema_road_model_27_05_2024_scenario_63,ema_road_model_27_05_2024_scenario_64,ema_road_model_27_05_2024_scenario_65,ema_road_model_27_05_2024_scenario_66,ema_road_model_27_05_2024_scenario_67,ema_road_model_27_05_2024_scenario_68,ema_road_model_27_05_2024_scenario_69,ema_road_model_27_05_2024_scenario_70,ema_road_model_27_05_2024_scenario_71,ema_road_model_27_05_2024_scenario_72,ema_road_model_27_05_2024_scenario_73,ema_road_model_27_05_2024_scenario_74,ema_road_model_27_05_2024_scenario_75,ema_road_model_27_05_2024_scenario_76,ema_road_model_27_05_2024_scenario_77,ema_road_model_27_05_2024_scenario_78,ema_road_model_27_05_2024_scenario_79,ema_road_model_27_05_2024_scenario_80,ema_road_model_27_05_2024_scenario_81,ema_road_model_27_05_2024_scenario_82,ema_road_model_27_05_2024_scenario_83,ema_road_model_27_05_2024_scenario_84,ema_road_model_27_05_2024_scenario_85,ema_road_model_27_05_2024_scenario_86,ema_road_model_27_05_2024_scenario_87,ema_road_model_27_05_2024_scenario_88,ema_road_model_27_05_2024_scenario_89,ema_road_model_27_05_2024_scenario_90,ema_road_model_27_05_2024_scenario_91,ema_road_model_27_05_2024_scenario_92,ema_road_model_27_05_2024_scenario_93,ema_road_model_27_05_2024_scenario_94,ema_road_model_27_05_2024_scenario_95,ema_road_model_27_05_2024_scenario_96,ema_road_model_27_05_2024_scenario_97,ema_road_model_27_05_2024_scenario_98,ema_road_model_27_05_2024_scenario_99
2019,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778,4509704411.925778
2020,4609034285.307776,4638227291.133672,4605431789.316652,4647785815.752593,4643443883.862144,4584014066.068108,4678273403.12426,4567551127.687097,4543448820.092764,4579660108.50129,4658278690.419596,4651651473.282829,4686433569.579878,4612914378.141062,4576898001.409268,4589013089.029234,4661739194.579824,4644906744.61954,4589707833.593858,4617957696.492807,4573118488.225834,4563528966.031969,4643450069.65114,4636277583.293096,4544139393.720425,4573577943.486811,4627910440.101325,4664076714.623343,4631941290.13758,4572145209.228228,4603632012.868933,4659967671.841027,4664341908.846327,4612135075.417178,4646740459.924498,4676039838.879059,4622073717.0691185,4590903401.22732,4633858092.339537,4572742836.375223,4582593503.116533,4571966986.977562,4662212176.0793085,4656734285.822276,4667953196.945316,4562576859.735645,4621823909.676511,4649046125.293126,4642471399.458915,4672320818.220308,4698723822.115137,4625603409.559025,4661627094.067105,4583610951.475269,4561436901.652907,4634005315.902718,4576430453.997714,4613784152.016282,4672645092.134557,4641422512.070673,4589582870.524904,4606261034.984583,4622397942.513679,4615207486.086407,4586801112.946278,4645046900.154881,4686346123.757209,4547695329.526274,4645532420.589555,4643028434.129626,4599634749.986347,4596806295.25836,4536132445.186935,4650076419.491519,4630199126.496982,4597639584.688221,4566086017.510029,4575702133.961681,4562185655.82651,4653711087.913063,4569953888.536203,4674859677.25528,4570662522.823732,4598989466.041098,4563868499.363486,4554982163.968927,4617539500.539279,4644469600.337944,4615685208.343713,4588393878.309039,4601026487.8282585,4593202671.424557,4694648133.020278,4517105240.171598,4652994229.5980835,4571819900.773197,4603099661.795834,4666096198.979044,4628206131.388689,4667098680.403966
2021,4683269140.684818,4747889176.608171,4679776547.254438,4755278032.152525,4762922065.2217865,4641557659.009734,4821992671.313899,4629116862.4625845,4573747959.861399,4639628234.116426,4798605767.43149,4784799942.250048,4843123631.880875,4715617565.852408,4643917492.190643,4665049387.140909,4805550789.651557,4751850720.035585,4653682123.506491,4707104654.243385,4623044355.051472,4630608750.322154,4761174741.070944,4741485454.173857,4567800982.884204,4642603607.266655,4736351853.082049,4802509529.742252,4734237020.169241,4624716464.451118,4679333870.191,4792163601.990862,4795609456.280262,4694312307.615047,4765874200.975596,4825241330.420122,4713381919.413708,4668038397.683062,4733799285.735948,4632590722.588509,4652308813.256101,4626127104.679492,4781763691.492696,4779322340.14996,4802683289.901671,4598846652.674723,4696484094.027554,4771769883.020929,4750089977.851332,4817756761.387392,4867921604.782194,4717258552.568228,4790476953.196378,4652221414.983214,4610547458.254009,4744278955.903763,4635255727.934843,4701740424.744534,4809391515.842794,4752642791.481879,4679968229.305093,4691955032.500652,4716348257.945313,4707139651.869261,4671969817.65591,4766884313.362755,4853962217.630627,4577825106.1407,4752242803.652308,4751776209.750294,4650273515.085773,4675894895.627963,4562294608.39142,4765588428.109179,4736195278.969754,4673357393.968372,4621001598.175375,4642239319.981688,4599407204.026915,4771550526.431192,4618986647.3937435,4814839679.551317,4610108936.796352,4672727386.88755,4595205637.67575,4594771386.303552,4709501959.148063,4763025324.127995,4703547748.196948,4672461694.706845,4680966030.626859,4681049036.032875,4864654836.861975,4524432691.121994,4774966423.227579,4625271978.635281,4697292374.3433,4804106943.728379,4728195763.763156,4800226496.799443
2022,4759558594.449458,4853410940.798002,4754233013.633314,4866794158.874648,4879450024.446599,4704053169.669228,4983933323.442503,4681878790.650109,4618504279.491156,4705663861.982329,4937816016.322947,4930044104.551526,4990975880.981449,4822491193.676634,4695494318.244595,4740106288.112331,4943062626.886805,4872222553.706204,4718865909.411079,4804682104.036381,4689003031.274029,4699272406.1464815,4889068875.977045,4866702812.707907,4599756803.872795,4715673150.068005,4844634819.294376,4943744017.906228,4845574980.6473,4683331405.267967,4749892503.7802515,4925393732.000354,4922190879.407978,4784977488.293603,4907282699.615527,4968744297.078412,4818498628.895047,4741221096.83106,4839513852.44821,4696763949.499982,4713710063.398915,4684119547.160587,4907766253.317385,4902707928.531828,4949179517.54553,4645657996.930536,4782526956.327371,4897177701.702694,4880447100.630246,4965967915.409027,5045246661.940544,4824774025.858678,4918082942.075741,4710430333.861304,4654309586.853461,4872535096.294118,4694470429.941355,4797543370.630656,4944159242.428536,4877504288.107949,4756507397.649857,4775282983.027883,4824081863.033001,4812308720.846102,4757562830.97937,4889901040.85146,5003090268.785921,4623145316.315938,4880923771.3671255,4863140459.913475,4707026242.768776,4752440300.507785,4593875622.328791,4877427445.631109,4837588544.34894,4758782160.599745,4681051352.502409,4705554790.647364,4635172800.636244,4879429218.242438,4674803535.760699,4937255488.166601,4676008492.477691,4754203250.1570635,4652655026.03672,4628990878.210405,4807449485.35862,4884931995.5694475,4794814872.169007,4741979823.447003,4759723616.067496,4762469499.493316,5020039403.6593075,4532165001.121668,4901425060.288248,4686758130.985672,4792152440.434233,4963785970.7705,4821797024.931249,4934160579.87688
2023,4871910848.097248,4974495763.959802,4850444153.302477,4999256438.918531,5017494486.489516,4801774868.056654,5138922411.348508,4765199689.510498,4691631417.235695,4786956961.367089,5101751402.245502,5072232008.998548,5166301222.011817,4948035988.65967,4790502100.126556,4835930984.022964,5086987370.946919,5041840936.140544,4820565278.839214,4918837132.83839,4768540997.908544,4785083977.4940405,5012175300.388922,4992946017.465387,4661256183.519269,4813037596.40848,4965745454.729637,5096875871.558638,4971548210.67379,4761858925.289575,4851410541.043471,5084816497.677507,5082656665.6646805,4891332608.732813,5066558996.150508,5138211037.176641,4929130766.945062,4831019287.009212,4967088828.378989,4782793231.255333,4800627548.978272,4764542965.48582,5043777464.559615,5063933923.195755,5103428587.282343,4708777683.885605,4900245051.993834,5044247163.752935,5018843868.687328,5137166157.120736,5205167085.99044,4941335407.527278,5058928739.140145,4790422501.460342,4722835417.324016,4997075431.903425,4765948392.578125,4905361560.872736,5110643523.003911,5015478318.605606,4857065854.924902,4879693282.174751,4942075477.949137,4923529625.250525,4861772346.3353195,5022967476.38158,5192430843.308885,4696745908.256454,5011798420.732136,4986734544.702956,4790431676.353512,4850104458.678001,4660726328.772923,5002025590.639198,4949753924.145363,4861821065.447087,4755777743.702156,4779597732.963376,4714924516.420138,5038089244.014816,4734349609.746647,5124551766.430442,4752226422.046396,4843861560.230622,4716764664.359629,4708681870.540932,4916178793.282585,5016857303.651609,4894444497.01106,4825465289.210151,4861004357.799489,4864979790.468512,5216922860.784987,4576946073.579019,5043271453.8584585,4762524351.423824,4901647850.374041,5119524179.243945,4937014010.694194,5107791610.622178
2024,4956337708.82312,5039487550.160463,4955387635.594559,5061852684.107217,5117431280.995053,4892322950.518643,5178572880.028772,4843225735.814949,4762196836.4191065,4870316459.821016,5142119210.913625,5068294201.124461,5156131197.562476,5038175452.709223,4902485386.312984,4890439329.468411,5129103767.936104,5155732373.795912,4880511915.924701,5016463343.343734,4852111914.923804,4873977778.987665,5064323972.020027,5072542510.997609,4766041086.045709,4901768826.586124,5036651225.633851,5155703710.183847,5069051676.721574,4861307883.827251,4936054438.165274,5150178981.228821,5095720548.808896,4964193394.697353,5079980618.717198,5175627822.624509,5011831344.270177,4899307474.486951,5020545200.571492,4873182000.449673,4880153169.9213085,4855158098.981724,5123095096.561274,5117204768.055352,5184457181.530487,4805592518.785036,4996101513.605855,5078441276.82841,5125364535.467254,5181741174.158064,5256424658.964106,5038153794.196043,5072373994.404085,4853776430.676752,4809725330.215868,5085621098.00868,4837407453.818955,4984683234.967348,5143644507.116884,5143104575.362186,4944678244.778925,4933073538.062949,5049253963.2351055,4996995301.04529,4963007375.059764,5104195578.507943,5278156539.778328,4777565991.822477,5087373203.114547,5060983969.667492,4878747648.947223,4918106314.760022,4720479980.038881,5040868812.753546,5037460508.754476,4907112399.32331,4821729514.136955,4858999513.907537,4819809435.505234,5070839625.195728,4808121803.08354,5120276463.707278,4837811500.253679,4913504151.217735,4816581960.829316,4792275720.570285,5016896632.036771,5100658940.367157,4988688193.102058,4914574695.286688,4941709641.263756,4922313591.623485,5263991363.4563055,4616436762.697798,5088976925.154794,4835901862.570074,5015182581.076465,5169244902.232211,5018824567.794624,5160268253.654646
2025,5071361117.549866,5176314550.333353,5024388374.805058,5193363015.104857,5232095128.819634,4978745107.955301,5367830154.722276,4904489174.986769,4822600800.36667,4922581545.634366,5397876189.204466,5316920979.314137,5432559718.054031,5148792263.350351,4965634266.555582,4995514523.725098,5316724698.5736065,5266826808.96054,4971038046.065256,5114774763.77724,4922103183.135852,4955945723.525419,5224801099.510195,5192607657.287178,4837865073.684191,4978005321.955079,5184087339.316907,5344735231.694265,5181031762.33006,4935585515.03346,5017783468.224427,5284034901.6580305,5281257572.705262,5061146189.262134,5279334648.2241125,5358631460.945364,5140800272.04232,4987564189.594498,5193232300.786428,4963740215.718707,4941109265.647703,4910335678.704556,5268098764.386754,5267857579.706403,5321424682.275309,4851601822.93783,5087733857.27906,5236048137.631563,5248233427.128871,5379903168.415675,5442978217.504848,5154834998.605728,5288446219.7720175,4928244980.068948,4850696771.492644,5245597750.1605015,4904834977.335428,5111045491.638135,5334279881.529389,5238084961.759625,5041415592.049361,5042943642.176259,5167111927.400113,5113830167.159868,5070935207.69484,5243998901.9628105,5428046698.3008,4837944494.287981,5221583333.5380125,5189322844.776738,4930715376.9668455,5036300501.0091715,4757912532.403177,5199677907.440833,5136239345.747421,5041127262.095506,4899237182.50029,4912627765.530788,4861118863.588131,5226032941.517437,4853056514.44544,5357472330.41078,4912802906.565858,5001596215.312194,4857882858.6362705,4849355464.634348,5113867364.653527,5238700548.274259,5073632379.834597,4972856985.645791,5035335887.975702,5038258168.967888,5438708692.844286,4645001966.998616,5285743531.271172,4894741653.397197,5089310225.559125,5319474918.64358,5113312605.275331,5355825095.273367
2026,5122533645.018335,5256749521.487132,5100185051.491904,5290694883.054413,5333517115.732081,5047162012.39658,5480591199.923552,4953717085.905976,4890464004.386238,4979896493.749511,5565414351.917987,5460966375.2054825,5523354974.171324,5229648675.658222,5050513225.199773,5048259848.280937,5415110889.584975,5359617239.273457,5012654388.203207,5190576164.339886,4996215074.836173,5018466183.310193,5325106277.149318,5307751422.94492,4869498013.8935175,5039162042.846186,5286552219.040235,5431317439.452973,5296036811.524772,5014004618.470402,5062963951.667703,5384108641.978321,5404950520.722679,5144646798.420607,5410113038.599353,5462925139.466047,5204876614.291885,5057611998.694053,5304666922.738495,5026179720.950929,5007470907.820549,4955789094.95641,5363604940.926229,5370861575.85502,5425370955.168468,4918752018.076859,5177533032.912643,5332918083.108181,5365961442.732792,5482931535.431428,5559410625.470039,5229892989.6782055,5387244593.365585,4990398436.817403,4910828483.225451,5336968464.810388,4948769697.7893715,5186873545.760783,5419093633.621704,5337686685.692188,5096669256.952272,5127070005.9783745,5227894493.720056,5193184261.535951,5142042126.371082,5346577856.422792,5538435673.705064,4881371122.37174,5347267887.496982,5282765890.038157,4966953901.46222,5083024253.715359,4792279550.7233925,5264458244.478621,5207184339.183191,5125966062.771847,4957379402.893854,4962546247.5021305,4883325809.043321,5306903551.67944,4901319190.964655,5452659038.856744,4963556635.302145,5057688432.780756,4885606195.1582575,4906789632.167959,5199736179.441788,5330526532.178999,5146042005.541602,5027149797.684506,5090803508.611883,5119410159.283976,5585021171.759671,4686530126.953909,5444113725.035574,4952565844.595359,5174397240.439271,5470457160.834841,5178634696.493839,5464957465.324664
2027,5238778339.209274,5380218451.222356,5190612875.753023,5439771169.019591,5460003226.381093,5137298381.441897,5610941291.187141,5045579661.735511,4978463235.49278,5077819693.509405,5658067406.584319,5592490184.293602,5660904336.414833,5337522757.815031,5151305788.768599,5163856458.83975,5526696495.2630625,5501894832.895586,5129433345.293568,5312600657.210719,5100764316.798754,5145265198.189124,5441092348.3202915,5435294267.311036,4954351304.189302,5142789062.9303465,5431792749.301096,5579305899.950059,5430185604.87863,5108161689.633875,5158685488.431594,5500655509.766988,5544473081.246061,5243979320.596191,5585983467.650671,5596007125.559351,5335705817.054091,5144042220.978287,5442207521.791201,5136969741.779385,5086475612.673674,5045283370.035964,5480605419.89574,5497792013.460561,5582676645.585733,4985933123.468362,5267814193.608973,5449263854.614661,5507378843.491898,5626624311.186921,5699833265.128398,5332866506.244209,5500167927.54148,5077201140.827791,4984342064.395846,5481936692.395152,5025803909.392181,5317546580.485716,5544388893.606308,5473131884.981198,5216862627.224604,5220840108.139309,5349308138.327587,5312487777.708926,5271060523.788132,5466114116.882051,5681561533.924753,4971381808.336056,5462495024.994833,5401304573.001285,5045861033.924208,5199020043.440555,4867685124.468457,5419707620.336202,5310691096.242952,5249477413.864551,5042787340.583534,5053067943.455693,4957434283.53927,5404411463.416768,4999166314.950962,5560146668.698249,5071799070.105973,5163250934.153605,4958063527.253397,5001122136.326445,5305788994.52736,5458704912.535164,5251208154.791943,5113390309.949296,5197723737.853198,5241707515.045645,5700343495.640961,4752088788.135088,5583824756.403103,5038622934.503752,5281392295.572371,5593250651.431097,5289398726.780779,5624726007.974991
2028,5330304185.298887,5454114967.520379,5282996600.875013,5521932242.407076,5573333227.935764,5249251042.881651,5730703419.424789,5127414818.363134,5044848987.33239,5175363862.10154,5916504473.298256,5824078445.799147,5813198807.061939,5480836323.789753,5272910003.726576,5250632654.537885,5650045075.797091,5633201426.369413,5201813909.510284,5399392797.097421,5208395391.44903,5244755634.162838,5575986973.19448,5568643766.274322,5038555265.896296,5240432102.691021,5568977861.47199,5697742848.163725,5550457035.408594,5200328755.044221,5231200916.011286,5609929224.086791,5646144091.304003,5338500797.151082,5736845978.459131,5686203437.741168,5438414875.403525,5255834637.854235,5569987718.428823,5196538092.433351,5161928913.009932,5098833209.490205,5575738033.064802,5601376099.648697,5707139294.1943035,5061545868.626244,5376677804.834275,5584039128.372245,5631390070.306776,5788969166.931184,5830626185.451929,5437702329.347343,5644187798.324519,5170410398.325452,5070536516.23763,5611371066.416743,5087744480.969765,5407521161.744797,5672018467.015779,5599923746.525235,5323615107.958567,5316242658.799565,5427133466.228744,5425063786.944335,5375670635.032065,5584347449.292129,5795146262.146969,5047987137.359566,5584539981.921547,5536050112.259005,5099200851.145105,5264138943.861597,4933933833.491908,5523402662.848809,5401202856.646853,5356196643.152248,5120644472.375969,5117242026.846043,5042381624.216995,5505884701.126238,5067196090.849554,5705360067.320914,5158219599.391446,5261018287.73226,5025471567.916862,5075458768.160558,5381557727.15569,5578755894.104171,5322886014.279365,5185288789.060245,5279089722.164235,5349674157.391177,5859721708.765307,4813686094.282356,5741791881.999298,5107545445.511825,5380456361.583251,5723231167.85248,5372700540.4427185,5754005336.671028
