,elasticity_transport.average_time.star,elasticity_cost_per_kilometer_passenger,elasticity_higher_education_level_share_passenger,elasticity_gdp_passenger,elasticity_gdp_cargo_domestic,elasticity_total_vehicles_passenger,elasticity_people.count.index,elasticity_commuting_jobs_share_passenger,elasticity_transport.shortest_path_lane_length,elasticity_world_trade_volume_cargo_international,elasticity_share_service_sector_gdp_cargo_domestic,elasticity_share_construction_sector_gdp_cargo_domestic,elasticity_share_agriculture_sector_gdp,elasticity_share_elderly_65_plus_passenger,cost_per_kilometer,gdp,total_vehicles,people.count.index,jobs.count.index,average_number_remote_working_days,percentage_of_remote_workers,world_trade_volume,share_service_sector_gdp,share_elderly_65_plus,higher_education_level_share,average_number_working_days,share_construction_sector_gdp,share_agriculture_sector_gdp,commuting_jobs_share,blankenburgverbinding
experiment_00,-0.5463696168732145,-0.12480936014129163,-0.1461638940957448,0.3398347236447147,0.2871287192731169,0.6643489776908891,0.31196682112116414,0.594164027512128,0.4036510000682766,0.39625971030484897,-0.045759509563862544,0.3839890459993194,0.31057038289364974,-0.39613434230122185,90.39307548392668,190.7400296815082,9.356482906814307,114.39470530872812,4924.317116824056,1.1873193833640703,76.77734426308363,155.96568604089157,57.31905014047353,25.711874250282396,45.0,3.78,9.0,2.0,0.758838018394774,0
experiment_01,-0.5861538511148126,-0.11315103266278567,-0.16198883974315684,0.3801916466122377,0.29998482137692006,0.5853981628949287,0.4365577663471453,0.8288886286081671,0.3909192279598207,0.5131140466392237,-0.5424389289263883,0.4107590324977642,0.24005665856467284,-0.407557951337396,76.31101994798038,172.71046310887058,11.854565150494754,108.87646050057897,4475.085231463653,1.219862663234786,64.48670479957747,147.12930169628174,63.18548217755199,23.419362397029463,45.0,3.78,9.0,2.0,0.7918917368781798,0
experiment_02,-0.5608401534358238,-0.2344979324429602,-0.08914839322995474,0.6676063055700705,0.06980807976875797,0.6237657278607792,0.3483194146972717,0.6067977642648412,0.3483972850668057,0.44881470291885084,-0.2578121836666425,0.3237919147957424,0.30438179264071386,-0.572794052178037,82.99476079704561,176.82110806873948,10.073480839765226,107.3031808403632,4304.496605715124,1.8917366066848051,63.70791186540414,159.9082231648813,59.00901404363047,24.020516417709793,45.0,3.78,9.0,2.0,0.6811677539385337,0
experiment_03,-0.3444037715471578,-0.2288637714810722,-0.09199958325475059,0.3657477137515092,0.03852956664702469,0.5520196139790587,0.3052552816253112,0.5483196388855273,0.35393816923753363,0.37401030921804956,-0.9205386664369586,0.3648568571971448,0.26034137660257733,-0.4749379342871549,65.57862282837415,118.5805516638122,9.154874176736584,106.43478377222004,4948.688951027628,1.3809622143022606,73.58823495602769,157.61208604213928,63.96451319038408,24.32865296886412,45.0,3.78,9.0,2.0,0.7311572172183307,0
experiment_04,-0.18148764012232493,-0.14491788644146886,-0.15755974222288208,0.4217762617245693,0.1655281376685907,0.7190705083214428,0.41099059710640845,0.6166117587217322,0.4218709578216616,0.32184426236951125,-0.48995737129015815,0.3082759307360754,0.17783795715524625,-0.45892802478262623,56.052164919210384,133.23801925963198,9.675408374084741,108.51383700227893,4845.13879019815,1.1546172383021376,49.65671662336239,161.26569625927837,57.998083852893025,24.01186521945644,45.0,3.78,9.0,2.0,0.8483214258973055,0
experiment_05,-0.14344309978804126,-0.17929089619584349,-0.1738642483231363,0.3243776815777154,0.23644894363785135,0.5910332971436226,0.24555940839670412,0.4861930445726614,0.4310035623533177,0.3868466769719697,-0.2919703012332808,0.45778363799130695,0.1947611568963489,-0.39024190380802476,106.18197872408493,160.78891341283227,11.963276499799804,111.59387754473198,5036.926781065693,1.6689178676672496,41.15791079158297,134.4563349926932,65.91641011001398,24.502980640632433,45.0,3.78,9.0,2.0,0.8182826118626256,0
experiment_06,-0.42406510336748127,-0.2317298768849869,-0.16617226755427283,0.34177293719818497,0.508264621973968,0.5646807840588877,0.37995022719596355,0.6770796307379339,0.3833709597026749,0.46138954169465346,-0.5865009972847087,0.35318939171736086,0.32222479429223166,-0.508507268409045,62.60660595234693,143.5519930556315,10.440392228484724,112.06408372175285,4903.198032048238,2.0707061303419185,77.77944704951854,112.62663228428865,66.2952391714798,23.46648654734026,45.0,3.78,9.0,2.0,0.5739196353967124,0
experiment_07,-0.46881307172737685,-0.16753211951663094,0.0006228170761507223,0.4800508265183908,0.2015982435828082,0.7232691504842937,0.40559950939347966,0.57750131681511,0.5866568847554292,0.3521663454728882,-0.7037280073458033,0.413007005986793,0.2545571943618093,-0.5409885869612884,110.52507975147657,181.1283084630139,9.551693650727405,114.90294265470001,4407.574902829658,1.0526923270135184,79.55087938595982,116.1926932951063,60.79340885450621,23.61138662058569,45.0,3.78,9.0,2.0,0.7784587292677836,0
experiment_08,-0.20523434727394918,-0.24726680692073882,-0.057927770772506826,0.37428604399544224,0.4103269387376268,0.5689094031950985,0.3201086714307993,0.5152810397734324,0.46944254690973863,0.35924996913708884,-0.8233476711747052,0.2672195704061728,0.2236892484299286,-0.5024089567055184,69.37185613148836,136.1330474070158,11.797001684933164,113.9232354227545,4322.65245308917,1.7283579980464645,65.54968360123603,161.70999959190885,57.93893570717772,25.789504314081807,45.0,3.78,9.0,2.0,0.7002822224295993,0
experiment_09,-0.2987352263112073,-0.21841690101025002,-0.15365048773456355,0.30234082882261126,0.30876530685472586,0.5754903879638044,0.28963218547334685,0.8154373899714462,0.29704916564522144,0.48546372008261024,-0.06291360668373125,0.4513458263352141,0.1633050662490909,-0.5772720695513831,112.498985788693,144.43867411327636,10.370536868646239,105.35156162929843,4661.592840354705,1.692637244900295,57.442212042163305,130.25857340213147,63.36267695132898,23.768700889331193,45.0,3.78,9.0,2.0,0.7427808795449051,0
