"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Maassluis";"    34.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Maassluis";"    35.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Maassluis";"    35.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Maassluis";"    35.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Maassluis";"    35.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Maassluis";"    35.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Midden-Delfland";"    19.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Midden-Delfland";"    19.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Midden-Delfland";"    19.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Midden-Delfland";"    18.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Midden-Delfland";"    18.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Midden-Delfland";"    18.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Molenlanden";"    43.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Molenlanden";"    42.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Molenlanden";"    41.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Molenlanden";"    40.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Molenlanden";"    40.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Molenlanden";"    39.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Nieuwkoop";"    28.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Nieuwkoop";"    28.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Nieuwkoop";"    27.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Nieuwkoop";"    27.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Nieuwkoop";"    26.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Nieuwkoop";"    25.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Nissewaard";"    85.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Nissewaard";"    85.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Nissewaard";"    85.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Nissewaard";"    84.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Nissewaard";"    84.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Nissewaard";"    83.5"
