aantal banen(x 1000);corop;2012;2030_min;2030_max;2050_min;2050_max
17;Utrecht;637;641;637;627;637
19;Alkmaar en omgeving;96;92;96;82;96
20;IJmond;74;74;74;68;74
21;Agglomeratie Haarlem;87;87;87;84;87
22;Zaanstreek;58;61;58;60;58
23;Groot-Amsterdam;780;809;780;785;780
24;Het Gooi en Vechtstreek;112;107;112;97;112
25;Agglomeratie Leiden en Bollenstreek;171;181;171;179;171
26;Agglomeratie 's-Gravenhage;388;403;388;399;388
27;Delft en Westland;105;112;105;115;105
28;Oost-Zuid-Holland;137;141;137;139;137
29;Groot-Rijnmond;627;636;627;622;627
30;Zuidoost-Zuid-Holland;170;172;170;160;170
