"ID";"Geslacht";"Leeftijd";"BurgerlijkeStaat";"RegioS";"Perioden";"BevolkingOp1Januari_1"
"2083";"T001038";"10000";"T001019";"GM1680";"2019JJ00";"   25386"
"2084";"T001038";"10000";"T001019";"GM1680";"2020JJ00";"   25445"
"2085";"T001038";"10000";"T001019";"GM1680";"2021JJ00";"   25399"
"2086";"T001038";"10000";"T001019";"GM1680";"2022JJ00";"   25579"
"2087";"T001038";"10000";"T001019";"GM1680";"2023JJ00";"   25724"
"2119";"T001038";"10000";"T001019";"GM0738";"2019JJ00";""
"2120";"T001038";"10000";"T001019";"GM0738";"2020JJ00";""
"2121";"T001038";"10000";"T001019";"GM0738";"2021JJ00";""
"2122";"T001038";"10000";"T001019";"GM0738";"2022JJ00";""
"2123";"T001038";"10000";"T001019";"GM0738";"2023JJ00";""
"2155";"T001038";"10000";"T001019";"GM0358";"2019JJ00";"   31728"
"2156";"T001038";"10000";"T001019";"GM0358";"2020JJ00";"   31859"
"2157";"T001038";"10000";"T001019";"GM0358";"2021JJ00";"   31991"
"2158";"T001038";"10000";"T001019";"GM0358";"2022JJ00";"   32452"
"2159";"T001038";"10000";"T001019";"GM0358";"2023JJ00";"   33063"
"2191";"T001038";"10000";"T001019";"GM0197";"2019JJ00";"   27011"
"2192";"T001038";"10000";"T001019";"GM0197";"2020JJ00";"   27121"
"2193";"T001038";"10000";"T001019";"GM0197";"2021JJ00";"   27120"
"2194";"T001038";"10000";"T001019";"GM0197";"2022JJ00";"   27100"
"2195";"T001038";"10000";"T001019";"GM0197";"2023JJ00";"   27244"
"2227";"T001038";"10000";"T001019";"GM0480";"2019JJ00";""
"2228";"T001038";"10000";"T001019";"GM0480";"2020JJ00";""
"2229";"T001038";"10000";"T001019";"GM0480";"2021JJ00";""
"2230";"T001038";"10000";"T001019";"GM0480";"2022JJ00";""
"2231";"T001038";"10000";"T001019";"GM0480";"2023JJ00";""
"2263";"T001038";"10000";"T001019";"GM0648";"2019JJ00";""
"2264";"T001038";"10000";"T001019";"GM0648";"2020JJ00";""
"2265";"T001038";"10000";"T001019";"GM0648";"2021JJ00";""
"2266";"T001038";"10000";"T001019";"GM0648";"2022JJ00";""
"2267";"T001038";"10000";"T001019";"GM0648";"2023JJ00";""
"2299";"T001038";"10000";"T001019";"GM0739";"2019JJ00";""
"2300";"T001038";"10000";"T001019";"GM0739";"2020JJ00";""
"2301";"T001038";"10000";"T001019";"GM0739";"2021JJ00";""
"2302";"T001038";"10000";"T001019";"GM0739";"2022JJ00";""
"2303";"T001038";"10000";"T001019";"GM0739";"2023JJ00";""
"2335";"T001038";"10000";"T001019";"GM0305";"2019JJ00";""
"2336";"T001038";"10000";"T001019";"GM0305";"2020JJ00";""
"2337";"T001038";"10000";"T001019";"GM0305";"2021JJ00";""
"2338";"T001038";"10000";"T001019";"GM0305";"2022JJ00";""
"2339";"T001038";"10000";"T001019";"GM0305";"2023JJ00";""
"2371";"T001038";"10000";"T001019";"GM0059";"2019JJ00";"   27852"
"2372";"T001038";"10000";"T001019";"GM0059";"2020JJ00";"   27843"
"2373";"T001038";"10000";"T001019";"GM0059";"2021JJ00";"   27900"
"2374";"T001038";"10000";"T001019";"GM0059";"2022JJ00";"   27954"
"2375";"T001038";"10000";"T001019";"GM0059";"2023JJ00";"   28149"
"2407";"T001038";"10000";"T001019";"GM0001";"2019JJ00";""
"2408";"T001038";"10000";"T001019";"GM0001";"2020JJ00";""
"2409";"T001038";"10000";"T001019";"GM0001";"2021JJ00";""
"2410";"T001038";"10000";"T001019";"GM0001";"2022JJ00";""
"2411";"T001038";"10000";"T001019";"GM0001";"2023JJ00";""
"2443";"T001038";"10000";"T001019";"GM0002";"2019JJ00";""
"2444";"T001038";"10000";"T001019";"GM0002";"2020JJ00";""
"2445";"T001038";"10000";"T001019";"GM0002";"2021JJ00";""
"2446";"T001038";"10000";"T001019";"GM0002";"2022JJ00";""
"2447";"T001038";"10000";"T001019";"GM0002";"2023JJ00";""
"2479";"T001038";"10000";"T001019";"GM0360";"2019JJ00";""
"2480";"T001038";"10000";"T001019";"GM0360";"2020JJ00";""
"2481";"T001038";"10000";"T001019";"GM0360";"2021JJ00";""
"2482";"T001038";"10000";"T001019";"GM0360";"2022JJ00";""
"2483";"T001038";"10000";"T001019";"GM0360";"2023JJ00";""
"2515";"T001038";"10000";"T001019";"GM0482";"2019JJ00";"   20069"
"2516";"T001038";"10000";"T001019";"GM0482";"2020JJ00";"   20165"
"2517";"T001038";"10000";"T001019";"GM0482";"2021JJ00";"   20136"
"2518";"T001038";"10000";"T001019";"GM0482";"2022JJ00";"   20087"
"2519";"T001038";"10000";"T001019";"GM0482";"2023JJ00";"   20356"
"2551";"T001038";"10000";"T001019";"GM0613";"2019JJ00";"   25271"
"2552";"T001038";"10000";"T001019";"GM0613";"2020JJ00";"   25590"
"2553";"T001038";"10000";"T001019";"GM0613";"2021JJ00";"   25814"
"2554";"T001038";"10000";"T001019";"GM0613";"2022JJ00";"   25934"
"2555";"T001038";"10000";"T001019";"GM0613";"2023JJ00";"   26357"
"2587";"T001038";"10000";"T001019";"GM0483";"2019JJ00";""
"2588";"T001038";"10000";"T001019";"GM0483";"2020JJ00";""
"2589";"T001038";"10000";"T001019";"GM0483";"2021JJ00";""
"2590";"T001038";"10000";"T001019";"GM0483";"2022JJ00";""
"2591";"T001038";"10000";"T001019";"GM0483";"2023JJ00";""
"2623";"T001038";"10000";"T001019";"GM0361";"2019JJ00";"  108558"
"2624";"T001038";"10000";"T001019";"GM0361";"2020JJ00";"  109436"
"2625";"T001038";"10000";"T001019";"GM0361";"2021JJ00";"  109896"
"2626";"T001038";"10000";"T001019";"GM0361";"2022JJ00";"  110783"
"2627";"T001038";"10000";"T001019";"GM0361";"2023JJ00";"  111834"
"2659";"T001038";"10000";"T001019";"GM0141";"2019JJ00";"   72849"
"2660";"T001038";"10000";"T001019";"GM0141";"2020JJ00";"   73107"
"2661";"T001038";"10000";"T001019";"GM0141";"2021JJ00";"   73132"
"2662";"T001038";"10000";"T001019";"GM0141";"2022JJ00";"   73155"
"2663";"T001038";"10000";"T001019";"GM0141";"2023JJ00";"   73949"
