"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Nederland";" 18092.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Nederland";" 18763.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Nederland";" 19324.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Nederland";" 19855.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Nederland";" 20263.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Nederland";" 20625.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Aalsmeer";"    33.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Aalsmeer";"    35.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Aalsmeer";"    36.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Aalsmeer";"    38.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Aalsmeer";"    40.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Aalsmeer";"    41.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Alblasserdam";"    20.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Alblasserdam";"    21.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Alblasserdam";"    22.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Alblasserdam";"    22.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Alblasserdam";"    23.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Alblasserdam";"    23.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Albrandswaard";"    26.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Albrandswaard";"    26.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Albrandswaard";"    28.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Albrandswaard";"    29.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Albrandswaard";"    30.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Albrandswaard";"    31.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Alkmaar";"   114.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Alkmaar";"   118.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Alkmaar";"   123.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Alkmaar";"   126.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Alkmaar";"   129.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Alkmaar";"   131.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Alphen aan den Rijn";"   119.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Alphen aan den Rijn";"   128.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Alphen aan den Rijn";"   135.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Alphen aan den Rijn";"   141.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Alphen aan den Rijn";"   146.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Alphen aan den Rijn";"   151.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Amersfoort";"   163.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Amersfoort";"   170.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Amersfoort";"   176.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Amersfoort";"   181.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Amersfoort";"   186.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Amersfoort";"   190.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Amstelveen";"   102.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Amstelveen";"   112.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Amstelveen";"   120.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Amstelveen";"   127.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Amstelveen";"   135.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Amstelveen";"   142.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Amsterdam";"   948.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Amsterdam";"  1028.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Amsterdam";"  1110.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Amsterdam";"  1186.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Amsterdam";"  1254.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Amsterdam";"  1322.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Baarn";"    25.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Baarn";"    26.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Baarn";"    26.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Baarn";"    27.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Baarn";"    28.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Baarn";"    28.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Barendrecht";"    49.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Barendrecht";"    50.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Barendrecht";"    52.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Barendrecht";"    54.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Barendrecht";"    56.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Barendrecht";"    57.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Beemster";"    11.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Beemster";"    12.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Beemster";"    13.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Beemster";"    14.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Beemster";"    14.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Beemster";"    15.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Bergen (NH.)";"    30.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Bergen (NH.)";"    31.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Bergen (NH.)";"    32.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Bergen (NH.)";"    33.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Bergen (NH.)";"    34.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Bergen (NH.)";"    35.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Beverwijk";"    45.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Beverwijk";"    48.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Beverwijk";"    50.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Beverwijk";"    52.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Beverwijk";"    54.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Beverwijk";"    55.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"De Bilt";"    44.3"
