"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Nederland";" 17871.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Nederland";" 18208.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Nederland";" 18457.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Nederland";" 18592.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Nederland";" 18611.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Nederland";" 18572.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Aalsmeer";"    31.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Aalsmeer";"    31.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Aalsmeer";"    32.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Aalsmeer";"    32.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Aalsmeer";"    32.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Aalsmeer";"    32.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Alblasserdam";"    19.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Alblasserdam";"    19.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Alblasserdam";"    19.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Alblasserdam";"    19.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Alblasserdam";"    19.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Alblasserdam";"    19.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Albrandswaard";"    24.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Albrandswaard";"    24.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Albrandswaard";"    24.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Albrandswaard";"    25.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Albrandswaard";"    25.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Albrandswaard";"    25.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Alkmaar";"   111.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Alkmaar";"   112.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Alkmaar";"   113.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Alkmaar";"   113.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Alkmaar";"   113.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Alkmaar";"   113.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Alphen aan den Rijn";"   116.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Alphen aan den Rijn";"   122.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Alphen aan den Rijn";"   126.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Alphen aan den Rijn";"   129.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Alphen aan den Rijn";"   131.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Alphen aan den Rijn";"   132.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Amersfoort";"   159.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Amersfoort";"   162.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Amersfoort";"   165.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Amersfoort";"   166.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Amersfoort";"   167.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Amersfoort";"   167.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Amstelveen";"    96.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Amstelveen";"    98.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Amstelveen";"    98.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Amstelveen";"    98.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Amstelveen";"    98.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Amstelveen";"    97.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Amsterdam";"   913.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Amsterdam";"   952.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Amsterdam";"   991.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Amsterdam";"  1023.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Amsterdam";"  1047.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Amsterdam";"  1070.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Baarn";"    24.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Baarn";"    23.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Baarn";"    23.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Baarn";"    23.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Baarn";"    23.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Baarn";"    23.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Barendrecht";"    47.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Barendrecht";"    46.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Barendrecht";"    46.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Barendrecht";"    47.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Barendrecht";"    47.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Barendrecht";"    48.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Beemster";"    10.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Beemster";"    11.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Beemster";"    11.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Beemster";"    11.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Beemster";"    11.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Beemster";"    11.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Bergen (NH.)";"    29.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Bergen (NH.)";"    28.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Bergen (NH.)";"    28.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Bergen (NH.)";"    28.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Bergen (NH.)";"    29.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Bergen (NH.)";"    29.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Beverwijk";"    43.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Beverwijk";"    44.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Beverwijk";"    45.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Beverwijk";"    45.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Beverwijk";"    46.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Beverwijk";"    46.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"De Bilt";"    42.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"De Bilt";"    41.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"De Bilt";"    41.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"De Bilt";"    41.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"De Bilt";"    41.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"De Bilt";"    41.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Blaricum";"    12.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Blaricum";"    11.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Blaricum";"    11.0"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Blaricum";"    10.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Blaricum";"    10.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Blaricum";"     9.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Bloemendaal";"    22.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Bloemendaal";"    21.8"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Bloemendaal";"    21.1"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Bloemendaal";"    20.6"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Bloemendaal";"    20.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Bloemendaal";"    19.7"
"Ondergrens 67%-prognose-interval";"Totaal";"2025";"Bodegraven-Reeuwijk";"    36.4"
"Ondergrens 67%-prognose-interval";"Totaal";"2030";"Bodegraven-Reeuwijk";"    36.3"
"Ondergrens 67%-prognose-interval";"Totaal";"2035";"Bodegraven-Reeuwijk";"    36.2"
"Ondergrens 67%-prognose-interval";"Totaal";"2040";"Bodegraven-Reeuwijk";"    35.9"
"Ondergrens 67%-prognose-interval";"Totaal";"2045";"Bodegraven-Reeuwijk";"    35.5"
"Ondergrens 67%-prognose-interval";"Totaal";"2050";"Bodegraven-Reeuwijk";"    35.1"
