"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Prognose";"Totaal";"2025";"Maassluis";"    35.4"
"Prognose";"Totaal";"2030";"Maassluis";"    36.8"
"Prognose";"Totaal";"2035";"Maassluis";"    37.6"
"Prognose";"Totaal";"2040";"Maassluis";"    37.8"
"Prognose";"Totaal";"2045";"Maassluis";"    38.2"
"Prognose";"Totaal";"2050";"Maassluis";"    38.4"
"Prognose";"Totaal";"2025";"Midden-Delfland";"    19.7"
"Prognose";"Totaal";"2030";"Midden-Delfland";"    19.9"
"Prognose";"Totaal";"2035";"Midden-Delfland";"    20.1"
"Prognose";"Totaal";"2040";"Midden-Delfland";"    20.1"
"Prognose";"Totaal";"2045";"Midden-Delfland";"    20.1"
"Prognose";"Totaal";"2050";"Midden-Delfland";"    20.1"
"Prognose";"Totaal";"2025";"Molenlanden";"    44.0"
"Prognose";"Totaal";"2030";"Molenlanden";"    43.4"
"Prognose";"Totaal";"2035";"Molenlanden";"    43.0"
"Prognose";"Totaal";"2040";"Molenlanden";"    42.8"
"Prognose";"Totaal";"2045";"Molenlanden";"    42.5"
"Prognose";"Totaal";"2050";"Molenlanden";"    42.3"
"Prognose";"Totaal";"2025";"Nieuwkoop";"    29.4"
"Prognose";"Totaal";"2030";"Nieuwkoop";"    29.3"
"Prognose";"Totaal";"2035";"Nieuwkoop";"    29.1"
"Prognose";"Totaal";"2040";"Nieuwkoop";"    28.9"
"Prognose";"Totaal";"2045";"Nieuwkoop";"    28.7"
"Prognose";"Totaal";"2050";"Nieuwkoop";"    28.2"
"Prognose";"Totaal";"2025";"Nissewaard";"    87.1"
"Prognose";"Totaal";"2030";"Nissewaard";"    87.9"
"Prognose";"Totaal";"2035";"Nissewaard";"    88.9"
"Prognose";"Totaal";"2040";"Nissewaard";"    89.6"
"Prognose";"Totaal";"2045";"Nissewaard";"    90.1"
"Prognose";"Totaal";"2050";"Nissewaard";"    90.5"
"Prognose";"Totaal";"2025";"Noordwijk";"    45.7"
"Prognose";"Totaal";"2030";"Noordwijk";"    46.4"
"Prognose";"Totaal";"2035";"Noordwijk";"    47.3"
"Prognose";"Totaal";"2040";"Noordwijk";"    47.9"
"Prognose";"Totaal";"2045";"Noordwijk";"    48.4"
"Prognose";"Totaal";"2050";"Noordwijk";"    48.7"
"Prognose";"Totaal";"2025";"Oegstgeest";"    26.1"
"Prognose";"Totaal";"2030";"Oegstgeest";"    27.0"
"Prognose";"Totaal";"2035";"Oegstgeest";"    28.2"
"Prognose";"Totaal";"2040";"Oegstgeest";"    29.2"
"Prognose";"Totaal";"2045";"Oegstgeest";"    30.3"
"Prognose";"Totaal";"2050";"Oegstgeest";"    31.2"
"Prognose";"Totaal";"2025";"Papendrecht";"    32.4"
"Prognose";"Totaal";"2030";"Papendrecht";"    32.6"
"Prognose";"Totaal";"2035";"Papendrecht";"    33.0"
"Prognose";"Totaal";"2040";"Papendrecht";"    33.4"
"Prognose";"Totaal";"2045";"Papendrecht";"    33.7"
"Prognose";"Totaal";"2050";"Papendrecht";"    34.1"
"Prognose";"Totaal";"2025";"Pijnacker-Nootdorp";"    56.8"
"Prognose";"Totaal";"2030";"Pijnacker-Nootdorp";"    56.7"
"Prognose";"Totaal";"2035";"Pijnacker-Nootdorp";"    57.5"
"Prognose";"Totaal";"2040";"Pijnacker-Nootdorp";"    58.3"
"Prognose";"Totaal";"2045";"Pijnacker-Nootdorp";"    59.0"
"Prognose";"Totaal";"2050";"Pijnacker-Nootdorp";"    59.6"
"Prognose";"Totaal";"2025";"Ridderkerk";"    47.8"
"Prognose";"Totaal";"2030";"Ridderkerk";"    48.8"
"Prognose";"Totaal";"2035";"Ridderkerk";"    49.6"
"Prognose";"Totaal";"2040";"Ridderkerk";"    50.2"
"Prognose";"Totaal";"2045";"Ridderkerk";"    50.8"
"Prognose";"Totaal";"2050";"Ridderkerk";"    51.5"
"Prognose";"Totaal";"2025";"Rijswijk (ZH.)";"    59.9"
"Prognose";"Totaal";"2030";"Rijswijk (ZH.)";"    64.6"
"Prognose";"Totaal";"2035";"Rijswijk (ZH.)";"    69.9"
"Prognose";"Totaal";"2040";"Rijswijk (ZH.)";"    75.2"
"Prognose";"Totaal";"2045";"Rijswijk (ZH.)";"    79.0"
"Prognose";"Totaal";"2050";"Rijswijk (ZH.)";"    82.0"
"Prognose";"Totaal";"2025";"Rotterdam";"   679.1"
"Prognose";"Totaal";"2030";"Rotterdam";"   707.0"
"Prognose";"Totaal";"2035";"Rotterdam";"   729.8"
"Prognose";"Totaal";"2040";"Rotterdam";"   750.2"
"Prognose";"Totaal";"2045";"Rotterdam";"   764.2"
"Prognose";"Totaal";"2050";"Rotterdam";"   775.5"
"Prognose";"Totaal";"2025";"Schiedam";"    81.8"
"Prognose";"Totaal";"2030";"Schiedam";"    85.8"
"Prognose";"Totaal";"2035";"Schiedam";"    89.0"
"Prognose";"Totaal";"2040";"Schiedam";"    91.6"
"Prognose";"Totaal";"2045";"Schiedam";"    93.9"
"Prognose";"Totaal";"2050";"Schiedam";"    96.0"
"Prognose";"Totaal";"2025";"Sliedrecht";"    26.0"
"Prognose";"Totaal";"2030";"Sliedrecht";"    26.2"
"Prognose";"Totaal";"2035";"Sliedrecht";"    26.3"
"Prognose";"Totaal";"2040";"Sliedrecht";"    26.4"
"Prognose";"Totaal";"2045";"Sliedrecht";"    26.4"
"Prognose";"Totaal";"2050";"Sliedrecht";"    26.4"
"Prognose";"Totaal";"2025";"Teylingen";"    38.4"
"Prognose";"Totaal";"2030";"Teylingen";"    38.9"
"Prognose";"Totaal";"2035";"Teylingen";"    39.4"
"Prognose";"Totaal";"2040";"Teylingen";"    40.0"
"Prognose";"Totaal";"2045";"Teylingen";"    40.6"
"Prognose";"Totaal";"2050";"Teylingen";"    40.9"
"Prognose";"Totaal";"2025";"Vlaardingen";"    76.8"
"Prognose";"Totaal";"2030";"Vlaardingen";"    79.3"
"Prognose";"Totaal";"2035";"Vlaardingen";"    81.9"
"Prognose";"Totaal";"2040";"Vlaardingen";"    84.3"
"Prognose";"Totaal";"2045";"Vlaardingen";"    86.5"
"Prognose";"Totaal";"2050";"Vlaardingen";"    88.5"
"Prognose";"Totaal";"2025";"Voorschoten";"    25.8"
"Prognose";"Totaal";"2030";"Voorschoten";"    26.0"
"Prognose";"Totaal";"2035";"Voorschoten";"    26.4"
"Prognose";"Totaal";"2040";"Voorschoten";"    26.8"
"Prognose";"Totaal";"2045";"Voorschoten";"    27.3"
"Prognose";"Totaal";"2050";"Voorschoten";"    27.6"
"Prognose";"Totaal";"2025";"Waddinxveen";"    34.5"
"Prognose";"Totaal";"2030";"Waddinxveen";"    37.4"
"Prognose";"Totaal";"2035";"Waddinxveen";"    38.5"
"Prognose";"Totaal";"2040";"Waddinxveen";"    39.2"
"Prognose";"Totaal";"2045";"Waddinxveen";"    39.7"
"Prognose";"Totaal";"2050";"Waddinxveen";"    40.2"
"Prognose";"Totaal";"2025";"Wassenaar";"    26.9"
"Prognose";"Totaal";"2030";"Wassenaar";"    26.5"
"Prognose";"Totaal";"2035";"Wassenaar";"    26.7"
"Prognose";"Totaal";"2040";"Wassenaar";"    26.8"
"Prognose";"Totaal";"2045";"Wassenaar";"    27.1"
"Prognose";"Totaal";"2050";"Wassenaar";"    27.1"
"Prognose";"Totaal";"2025";"Westland";"   118.5"
"Prognose";"Totaal";"2030";"Westland";"   124.3"
"Prognose";"Totaal";"2035";"Westland";"   129.7"
"Prognose";"Totaal";"2040";"Westland";"   135.0"
"Prognose";"Totaal";"2045";"Westland";"   139.3"
"Prognose";"Totaal";"2050";"Westland";"   143.4"
"Prognose";"Totaal";"2025";"Westvoorne";"    14.9"
"Prognose";"Totaal";"2030";"Westvoorne";"    14.9"
"Prognose";"Totaal";"2035";"Westvoorne";"    14.9"
