"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Maassluis";"    36.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Maassluis";"    38.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Maassluis";"    39.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Maassluis";"    40.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Maassluis";"    41.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Maassluis";"    42.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Midden-Delfland";"    20.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Midden-Delfland";"    20.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Midden-Delfland";"    21.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Midden-Delfland";"    21.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Midden-Delfland";"    21.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Midden-Delfland";"    22.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Molenlanden";"    44.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Molenlanden";"    44.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Molenlanden";"    44.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Molenlanden";"    44.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Molenlanden";"    45.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Molenlanden";"    45.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Nieuwkoop";"    29.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Nieuwkoop";"    30.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Nieuwkoop";"    30.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Nieuwkoop";"    30.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Nieuwkoop";"    30.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Nieuwkoop";"    30.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Nissewaard";"    88.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Nissewaard";"    90.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Nissewaard";"    92.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Nissewaard";"    94.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Nissewaard";"    96.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Nissewaard";"    98.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Noordwijk";"    46.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Noordwijk";"    48.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Noordwijk";"    49.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Noordwijk";"    50.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Noordwijk";"    52.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Noordwijk";"    53.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Oegstgeest";"    26.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Oegstgeest";"    28.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Oegstgeest";"    30.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Oegstgeest";"    31.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Oegstgeest";"    33.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Oegstgeest";"    35.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Papendrecht";"    33.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Papendrecht";"    33.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Papendrecht";"    34.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Papendrecht";"    35.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Papendrecht";"    36.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Papendrecht";"    37.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Pijnacker-Nootdorp";"    57.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Pijnacker-Nootdorp";"    58.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Pijnacker-Nootdorp";"    59.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Pijnacker-Nootdorp";"    61.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Pijnacker-Nootdorp";"    62.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Pijnacker-Nootdorp";"    64.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Ridderkerk";"    48.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Ridderkerk";"    50.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Ridderkerk";"    51.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Ridderkerk";"    53.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Ridderkerk";"    54.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Ridderkerk";"    55.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Rijswijk (ZH.)";"    61.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Rijswijk (ZH.)";"    67.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Rijswijk (ZH.)";"    74.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Rijswijk (ZH.)";"    81.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Rijswijk (ZH.)";"    87.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Rijswijk (ZH.)";"    92.0"
