"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Prognose";"Totaal";"2025";"Nederland";" 17980.5"
"Prognose";"Totaal";"2030";"Nederland";" 18480.1"
"Prognose";"Totaal";"2035";"Nederland";" 18893.0"
"Prognose";"Totaal";"2040";"Nederland";" 19212.2"
"Prognose";"Totaal";"2045";"Nederland";" 19446.7"
"Prognose";"Totaal";"2050";"Nederland";" 19630.0"
"Prognose";"Totaal";"2025";"Aalsmeer";"    32.6"
"Prognose";"Totaal";"2030";"Aalsmeer";"    33.4"
"Prognose";"Totaal";"2035";"Aalsmeer";"    34.5"
"Prognose";"Totaal";"2040";"Aalsmeer";"    35.6"
"Prognose";"Totaal";"2045";"Aalsmeer";"    36.3"
"Prognose";"Totaal";"2050";"Aalsmeer";"    36.9"
"Prognose";"Totaal";"2025";"Alblasserdam";"    20.3"
"Prognose";"Totaal";"2030";"Alblasserdam";"    20.5"
"Prognose";"Totaal";"2035";"Alblasserdam";"    20.8"
"Prognose";"Totaal";"2040";"Alblasserdam";"    21.1"
"Prognose";"Totaal";"2045";"Alblasserdam";"    21.3"
"Prognose";"Totaal";"2050";"Alblasserdam";"    21.5"
"Prognose";"Totaal";"2025";"Albrandswaard";"    25.3"
"Prognose";"Totaal";"2030";"Albrandswaard";"    25.5"
"Prognose";"Totaal";"2035";"Albrandswaard";"    26.2"
"Prognose";"Totaal";"2040";"Albrandswaard";"    27.1"
"Prognose";"Totaal";"2045";"Albrandswaard";"    27.9"
"Prognose";"Totaal";"2050";"Albrandswaard";"    28.6"
"Prognose";"Totaal";"2025";"Alkmaar";"   112.6"
"Prognose";"Totaal";"2030";"Alkmaar";"   115.6"
"Prognose";"Totaal";"2035";"Alkmaar";"   118.4"
"Prognose";"Totaal";"2040";"Alkmaar";"   120.1"
"Prognose";"Totaal";"2045";"Alkmaar";"   121.1"
"Prognose";"Totaal";"2050";"Alkmaar";"   121.9"
"Prognose";"Totaal";"2025";"Alphen aan den Rijn";"   117.6"
"Prognose";"Totaal";"2030";"Alphen aan den Rijn";"   125.1"
"Prognose";"Totaal";"2035";"Alphen aan den Rijn";"   130.5"
"Prognose";"Totaal";"2040";"Alphen aan den Rijn";"   135.1"
"Prognose";"Totaal";"2045";"Alphen aan den Rijn";"   138.7"
"Prognose";"Totaal";"2050";"Alphen aan den Rijn";"   141.7"
"Prognose";"Totaal";"2025";"Amersfoort";"   161.7"
"Prognose";"Totaal";"2030";"Amersfoort";"   166.4"
"Prognose";"Totaal";"2035";"Amersfoort";"   170.6"
"Prognose";"Totaal";"2040";"Amersfoort";"   174.0"
"Prognose";"Totaal";"2045";"Amersfoort";"   176.9"
"Prognose";"Totaal";"2050";"Amersfoort";"   178.9"
"Prognose";"Totaal";"2025";"Amstelveen";"    99.7"
"Prognose";"Totaal";"2030";"Amstelveen";"   105.1"
"Prognose";"Totaal";"2035";"Amstelveen";"   108.9"
"Prognose";"Totaal";"2040";"Amstelveen";"   112.2"
"Prognose";"Totaal";"2045";"Amstelveen";"   115.3"
"Prognose";"Totaal";"2050";"Amstelveen";"   117.7"
"Prognose";"Totaal";"2025";"Amsterdam";"   930.4"
"Prognose";"Totaal";"2030";"Amsterdam";"   989.7"
"Prognose";"Totaal";"2035";"Amsterdam";"  1049.2"
